t_env,episode,epsilon,episode_reward
34,1,1.0,99.0
549,32,0.990101,81.0
1066,54,0.980145,60.0
1577,77,0.970436,60.0
2097,99,0.960746,90.0
2599,121,0.951075,69.0
3122,143,0.941366,105.0
3639,167,0.931296,66.0
4156,191,0.921435,60.0
4674,213,0.911555,54.0
5186,234,0.90234,135.0
5706,256,0.892289,108.0
6233,277,0.8822760000000001,108.0
6760,298,0.872168,93.0
7273,319,0.862193,57.0
7786,340,0.852693,96.0
8298,361,0.842794,69.0
8805,381,0.833009,45.0
9319,401,0.8233,54.0
9830,418,0.8135910000000001,54.0
10348,435,0.8039580000000001,87.0
10854,455,0.794097,48.0
11366,474,0.78454,75.0
11890,494,0.774641,84.0
12407,512,0.7646660000000001,60.0
12938,532,0.754938,117.0
13443,549,0.7457800000000001,186.0
13958,565,0.7352920000000001,75.0
14459,582,0.725735,69.0
14960,598,0.7162540000000001,75.0
15522,614,0.706697,252.0
16031,632,0.6962090000000001,123.0
16532,647,0.686405,78.0
17060,666,0.6764490000000001,90.0
17586,682,0.667101,192.0
18102,697,0.656461,60.0
18618,711,0.647417,180.0
19144,728,0.6369100000000001,99.0
19648,742,0.6277520000000001,165.0
20158,766,0.61753,81.0
20714,782,0.607859,222.0
21222,796,0.597523,114.0
21728,812,0.5881940000000001,159.0
22292,821,0.578257,282.0
22797,835,0.5674080000000001,84.0
23306,848,0.557756,87.0
23898,860,0.5477050000000001,276.0
24461,872,0.536761,237.0
24977,880,0.5260070000000001,87.0
25483,887,0.518084,354.0
25995,897,0.5072160000000001,174.0
26531,903,0.49815300000000007,351.0
27037,910,0.48719,138.0
27551,917,0.4778800000000001,210.0
28107,925,0.4679810000000001,315.0
28664,934,0.45675200000000005,213.0
29218,941,0.446701,288.0
29742,951,0.4363650000000001,228.0
30274,958,0.426694,297.0
30799,964,0.416073,195.0
31408,970,0.4055660000000001,363.0
31931,977,0.3949640000000001,258.0
32488,983,0.3841340000000001,219.0
33020,991,0.3751660000000001,399.0
33556,995,0.36661600000000005,657.0
34164,1001,0.3547030000000001,600.0
34710,1006,0.3421820000000001,261.0
35232,1011,0.33386000000000005,513.0
35832,1015,0.3222130000000001,474.0
36368,1019,0.31212400000000007,489.0
36900,1022,0.30321300000000007,678.0
37447,1025,0.29270600000000013,660.0
37998,1028,0.28105900000000006,474.0
38674,1032,0.2687280000000001,555.0
39216,1035,0.25843000000000005,555.0
39758,1038,0.24809400000000015,549.0
40506,1052,0.23623800000000006,921.0
41117,1055,0.2231660000000001,690.0
41760,1058,0.21045500000000006,612.0
42283,1061,0.20059400000000005,624.0
