t_env,episode,epsilon,episode_reward
17,1,1.0,48.0
517,31,0.99088,108.0
1021,53,0.981038,66.0
1522,73,0.971633,84.0
2030,95,0.961829,60.0
2531,118,0.952367,69.0
3032,141,0.942734,51.0
3539,164,0.93312,54.0
4050,188,0.923449,60.0
4555,210,0.913797,51.0
5067,236,0.904259,81.0
5572,259,0.894417,42.0
6080,282,0.884784,45.0
6582,304,0.87536,63.0
7095,328,0.865746,84.0
7616,347,0.855942,99.0
8138,368,0.845948,87.0
8655,388,0.836049,75.0
9170,408,0.826454,105.0
9679,428,0.816574,72.0
10186,447,0.807112,99.0
10697,465,0.797232,72.0
11218,485,0.787599,114.0
11752,504,0.777719,156.0
12284,522,0.767383,120.0
12786,538,0.75756,75.0
13303,556,0.7482120000000001,150.0
13823,570,0.738009,99.0
14368,584,0.727882,135.0
14896,599,0.7178120000000001,129.0
15445,613,0.707894,210.0
15956,624,0.6976720000000001,129.0
16468,636,0.688229,174.0
16992,650,0.677646,75.0
17500,662,0.6686780000000001,183.0
18006,675,0.658475,90.0
18512,686,0.648842,87.0
19050,698,0.639228,183.0
19588,710,0.6287210000000001,138.0
20113,731,0.618803,147.0
20614,742,0.6088850000000001,84.0
21164,751,0.599176,201.0
21777,762,0.588555,363.0
22304,772,0.577763,240.0
22818,780,0.5673320000000001,135.0
23329,789,0.5584210000000001,261.0
23853,799,0.5472870000000001,75.0
24412,806,0.53868,393.0
24973,814,0.5273370000000001,285.0
25534,822,0.516108,195.0
26044,829,0.506152,153.0
26552,835,0.4976590000000001,336.0
27070,842,0.48734200000000005,261.0
27599,848,0.476341,111.0
28128,853,0.466461,138.0
28704,859,0.4570940000000001,387.0
29259,864,0.4468150000000001,429.0
29862,870,0.4356810000000001,480.0
30458,878,0.42422400000000005,459.0
31005,883,0.41432500000000005,537.0
31586,887,0.4031150000000001,510.0
32092,892,0.39295,423.0
32751,896,0.382576,762.0
33309,900,0.3686680000000001,240.0
33897,903,0.35962400000000005,576.0
34424,906,0.34978200000000004,603.0
34926,910,0.3381160000000001,267.0
35438,913,0.3306490000000001,624.0
35998,916,0.31911600000000007,483.0
36590,920,0.30710800000000005,363.0
37097,923,0.2995840000000001,696.0
37618,926,0.28808900000000004,444.0
38202,929,0.27862700000000007,702.0
38807,933,0.26635300000000006,579.0
39349,937,0.25649200000000005,648.0
39932,941,0.24501600000000012,585.0
40606,955,0.23232400000000009,603.0
41213,957,0.2243440000000001,1164.0
41717,960,0.20999900000000005,411.0
42339,963,0.19920700000000013,573.0
43092,967,0.18864300000000012,1164.0
43679,970,0.17256900000000008,387.0
44290,975,0.16128300000000007,438.0
44855,978,0.15094700000000005,501.0
45395,980,0.14256800000000014,798.0
46049,982,0.13128200000000012,978.0
46573,984,0.11851400000000012,534.0
47323,986,0.1086720000000001,1230.0
48095,988,0.09292100000000014,1059.0
48849,991,0.0773600000000001,864.0
49501,995,0.06333800000000012,606.0
50079,997,0.05454100000000006,951.0
50864,1000,0.05,912.0
51378,1002,0.05,879.0
51918,1004,0.05,759.0
52465,1006,0.05,648.0
52984,1008,0.05,657.0
53705,1011,0.05,663.0
54290,1014,0.05,672.0
54920,1017,0.05,768.0
55450,1019,0.05,1014.0
56394,1023,0.05,1497.0
57225,1026,0.05,1248.0
57828,1028,0.05,585.0
58353,1030,0.05,792.0
58864,1032,0.05,801.0
59612,1035,0.05,873.0
60188,1037,0.05,648.0
60836,1049,0.05,693.0
61757,1052,0.05,1413.0
62410,1055,0.05,624.0
62966,1058,0.05,351.0
63502,1061,0.05,741.0
64023,1063,0.05,1014.0
64771,1066,0.05,870.0
65447,1068,0.05,1473.0
66056,1070,0.05,1098.0
66573,1072,0.05,816.0
67235,1074,0.05,756.0
67888,1076,0.05,1041.0
68509,1078,0.05,1188.0
69048,1080,0.05,681.0
69913,1082,0.05,1470.0
70498,1084,0.05,600.0
71009,1086,0.05,675.0
71700,1088,0.05,1107.0
72398,1090,0.05,882.0
72969,1092,0.05,1158.0
73469,1093,0.05,1497.0
73980,1096,0.05,771.0
74575,1099,0.05,801.0
75269,1103,0.05,594.0
75881,1106,0.05,339.0
76508,1109,0.05,477.0
77126,1111,0.05,561.0
77660,1114,0.05,678.0
78180,1118,0.05,381.0
78691,1120,0.05,657.0
79262,1123,0.05,870.0
79795,1126,0.05,1497.0
80295,1127,0.05,1497.0
80890,1140,0.05,645.0
81550,1143,0.05,639.0
82184,1147,0.05,1002.0
82724,1150,0.05,576.0
83413,1154,0.05,675.0
83947,1157,0.05,612.0
84455,1160,0.05,567.0
85009,1163,0.05,633.0
85818,1166,0.05,975.0
86391,1168,0.05,1080.0
87072,1170,0.05,1086.0
87604,1172,0.05,804.0
88511,1175,0.05,1491.0
89136,1177,0.05,777.0
89793,1179,0.05,1254.0
90402,1181,0.05,768.0
91039,1183,0.05,837.0
91539,1184,0.05,1497.0
92126,1186,0.05,639.0
93044,1188,0.05,1332.0
93907,1190,0.05,1242.0
94480,1194,0.05,531.0
94990,1196,0.05,681.0
95618,1198,0.05,1161.0
96358,1202,0.05,792.0
96958,1205,0.05,654.0
97525,1208,0.05,390.0
98037,1211,0.05,486.0
98690,1215,0.05,675.0
99244,1218,0.05,429.0
99887,1221,0.05,762.0
100592,1234,0.05,642.0
101266,1237,0.05,768.0
101821,1240,0.05,540.0
102515,1243,0.05,747.0
103103,1246,0.05,471.0
103788,1249,0.05,858.0
104413,1252,0.05,531.0
105195,1255,0.05,936.0
105894,1258,0.05,738.0
106488,1260,0.05,963.0
107157,1262,0.05,759.0
107847,1265,0.05,657.0
108392,1268,0.05,534.0
108975,1272,0.05,417.0
109586,1276,0.05,390.0
110207,1281,0.05,375.0
110710,1284,0.05,540.0
111395,1287,0.05,726.0
112074,1290,0.05,771.0
112664,1293,0.05,579.0
113246,1296,0.05,507.0
113844,1299,0.05,519.0
114380,1302,0.05,474.0
115036,1305,0.05,597.0
115627,1309,0.05,456.0
116272,1313,0.05,549.0
116903,1317,0.05,414.0
117536,1320,0.05,567.0
118051,1322,0.05,693.0
118599,1324,0.05,735.0
119116,1326,0.05,678.0
119702,1329,0.05,588.0
120235,1332,0.05,549.0
120747,1344,0.05,633.0
121364,1347,0.05,462.0
121931,1350,0.05,414.0
122435,1353,0.05,453.0
123102,1357,0.05,516.0
123905,1361,0.05,1047.0
124618,1364,0.05,804.0
125135,1366,0.05,702.0
125679,1368,0.05,435.0
126452,1371,0.05,858.0
126970,1374,0.05,432.0
127510,1377,0.05,522.0
128184,1381,0.05,579.0
128880,1385,0.05,666.0
129423,1388,0.05,462.0
130002,1391,0.05,564.0
130617,1394,0.05,558.0
131269,1397,0.05,729.0
131786,1399,0.05,780.0
132286,1401,0.05,735.0
132816,1404,0.05,444.0
133407,1407,0.05,600.0
133934,1410,0.05,525.0
134475,1413,0.05,555.0
135059,1416,0.05,504.0
135802,1419,0.05,813.0
136377,1422,0.05,408.0
136970,1425,0.05,681.0
137483,1428,0.05,465.0
138031,1431,0.05,588.0
138565,1433,0.05,618.0
139115,1436,0.05,501.0
139669,1439,0.05,594.0
140368,1442,0.05,873.0
141054,1455,0.05,717.0
141555,1457,0.05,765.0
142102,1460,0.05,450.0
142671,1463,0.05,582.0
143291,1467,0.05,534.0
143841,1470,0.05,510.0
144355,1473,0.05,570.0
145019,1477,0.05,540.0
145685,1480,0.05,711.0
146314,1482,0.05,474.0
146860,1484,0.05,804.0
147451,1487,0.05,522.0
148092,1490,0.05,537.0
148787,1494,0.05,618.0
149462,1497,0.05,675.0
150027,1500,0.05,576.0
150585,1502,0.05,1077.0
151234,1505,0.05,597.0
151863,1508,0.05,654.0
152724,1511,0.05,1158.0
153355,1514,0.05,660.0
153868,1516,0.05,717.0
154508,1519,0.05,582.0
155112,1522,0.05,585.0
155621,1524,0.05,684.0
156308,1527,0.05,708.0
156886,1530,0.05,615.0
157593,1533,0.05,747.0
158279,1536,0.05,591.0
158914,1539,0.05,720.0
159608,1542,0.05,684.0
160592,1545,0.05,1482.0
161128,1557,0.05,906.0
161837,1559,0.05,1497.0
162596,1562,0.05,786.0
163265,1564,0.05,759.0
163867,1566,0.05,885.0
164387,1568,0.05,645.0
165145,1571,0.05,921.0
165710,1574,0.05,516.0
166400,1577,0.05,681.0
166998,1579,0.05,912.0
167624,1582,0.05,693.0
168124,1583,0.05,1497.0
168952,1585,0.05,1497.0
169836,1587,0.05,1191.0
170350,1589,0.05,771.0
171085,1592,0.05,753.0
171593,1594,0.05,720.0
172217,1596,0.05,642.0
172908,1598,0.05,1497.0
173513,1600,0.05,906.0
174017,1602,0.05,765.0
174615,1605,0.05,708.0
175208,1608,0.05,612.0
175934,1611,0.05,726.0
176639,1613,0.05,1497.0
177165,1615,0.05,1005.0
177823,1618,0.05,786.0
178323,1619,0.05,1497.0
179039,1621,0.05,1497.0
179643,1623,0.05,858.0
180472,1625,0.05,1497.0
180974,1627,0.05,870.0
181608,1639,0.05,1209.0
182108,1640,0.05,1497.0
182976,1642,0.05,1497.0
183838,1645,0.05,1122.0
184590,1648,0.05,768.0
185323,1650,0.05,1407.0
185823,1651,0.05,1497.0
186500,1654,0.05,633.0
187000,1655,0.05,1497.0
187637,1657,0.05,1014.0
188163,1659,0.05,717.0
188912,1661,0.05,1497.0
189721,1663,0.05,1497.0
190495,1665,0.05,1302.0
191229,1668,0.05,702.0
192136,1670,0.05,1497.0
192791,1672,0.05,678.0
193291,1673,0.05,1497.0
193791,1674,0.05,1497.0
194291,1675,0.05,1497.0
195157,1677,0.05,1497.0
196053,1679,0.05,1497.0
196553,1680,0.05,1497.0
197053,1681,0.05,1497.0
197637,1683,0.05,768.0
198410,1685,0.05,1305.0
198910,1686,0.05,1497.0
199410,1687,0.05,1497.0
199910,1688,0.05,1497.0
200410,1689,0.05,1497.0
201204,1691,0.05,1497.0
201704,1702,0.05,1497.0
202304,1704,0.05,786.0
203053,1706,0.05,1497.0
203641,1708,0.05,876.0
204141,1709,0.05,1497.0
204887,1711,0.05,1497.0
205588,1713,0.05,1347.0
206328,1715,0.05,1497.0
206828,1716,0.05,1497.0
