t_env,episode,epsilon,episode_reward
15,1,1.0,42.0
522,34,0.990576,75.0
1033,57,0.980905,81.0
1536,78,0.97131,75.0
2053,98,0.961601,93.0
2567,120,0.95155,48.0
3078,144,0.941822,45.0
3599,168,0.932132,78.0
4118,191,0.922195,66.0
4634,212,0.912391,66.0
5139,234,0.902777,63.0
5655,257,0.892916,54.0
6174,279,0.88315,69.0
6678,300,0.8735930000000001,72.0
7180,320,0.864245,102.0
7699,341,0.854118,60.0
8226,364,0.844257,84.0
8752,387,0.834491,120.0
9262,408,0.824497,72.0
9777,427,0.814655,63.0
10292,449,0.8050980000000001,99.0
10819,470,0.7950090000000001,87.0
11327,489,0.785433,99.0
11829,507,0.775857,93.0
12353,525,0.765977,105.0
12861,544,0.756344,108.0
13379,563,0.746388,90.0
13889,578,0.736907,123.0
14428,596,0.7269700000000001,171.0
14955,612,0.7164250000000001,87.0
15487,626,0.706488,114.0
16001,641,0.6966840000000001,108.0
16503,655,0.686918,72.0
17014,667,0.6773990000000001,102.0
17514,680,0.6682790000000001,162.0
18021,696,0.6580760000000001,72.0
18531,708,0.648728,126.0
19063,722,0.6389050000000001,171.0
19627,732,0.62855,228.0
20163,753,0.6177010000000001,123.0
20731,763,0.608334,348.0
21242,775,0.597067,102.0
21761,786,0.587434,138.0
22357,796,0.577326,330.0
22951,805,0.5665340000000001,408.0
23468,813,0.5563880000000001,357.0
23971,821,0.5458810000000001,207.0
24533,831,0.5357160000000001,288.0
25040,840,0.5250190000000001,120.0
25674,846,0.5149490000000001,432.0
26225,852,0.504518,438.0
26811,859,0.49239600000000006,282.0
27381,866,0.48255400000000004,438.0
27980,871,0.471762,531.0
28513,878,0.4599630000000001,267.0
29016,882,0.45118500000000006,390.0
29553,889,0.4402600000000001,276.0
30106,895,0.43043700000000007,384.0
30649,900,0.41918900000000003,237.0
31182,904,0.409575,318.0
31717,909,0.39922,288.0
32296,914,0.389568,501.0
32826,917,0.3818920000000001,879.0
33408,923,0.3670530000000001,282.0
33923,928,0.35863600000000007,498.0
34531,931,0.3464950000000001,405.0
35106,935,0.33532300000000004,366.0
35638,941,0.32371400000000006,129.0
36148,947,0.3146510000000001,228.0
36793,950,0.30376400000000003,444.0
37383,953,0.2937130000000001,627.0
38036,956,0.28301600000000005,897.0
38674,958,0.2744090000000001,1452.0
39264,962,0.25698600000000005,471.0
39803,966,0.24750500000000009,591.0
40308,979,0.23718800000000007,477.0
40825,982,0.22717500000000013,447.0
41366,985,0.21813100000000007,642.0
41957,987,0.20806100000000005,825.0
42651,989,0.19913100000000006,1497.0
43204,991,0.18617300000000014,1110.0
43712,994,0.17218900000000015,426.0
44275,997,0.16322100000000006,699.0
45180,999,0.1510800000000001,1497.0
46062,1001,0.13432200000000005,1497.0
46852,1005,0.11556900000000014,906.0
47352,1006,0.10981200000000013,1497.0
47852,1007,0.10031200000000007,1497.0
48821,1009,0.08190100000000011,1497.0
49583,1011,0.06742300000000012,1497.0
50083,1012,0.05792300000000017,1497.0
50781,1014,0.05,1233.0
51281,1015,0.05,1497.0
51942,1017,0.05,1161.0
52442,1018,0.05,1497.0
52942,1019,0.05,1497.0
53442,1020,0.05,1497.0
53942,1021,0.05,1497.0
54442,1022,0.05,1497.0
54942,1023,0.05,1497.0
55902,1025,0.05,1497.0
56402,1026,0.05,1497.0
56902,1027,0.05,1497.0
57402,1028,0.05,1497.0
57902,1029,0.05,1497.0
58667,1031,0.05,1497.0
59167,1032,0.05,1497.0
59667,1033,0.05,1497.0
60368,1035,0.05,1497.0
60954,1048,0.05,636.0
61643,1050,0.05,1497.0
62143,1051,0.05,1497.0
62794,1053,0.05,1497.0
63542,1055,0.05,1497.0
64042,1056,0.05,1497.0
64542,1057,0.05,1497.0
65042,1058,0.05,1497.0
65542,1059,0.05,1497.0
66456,1061,0.05,1497.0
67286,1063,0.05,1035.0
67786,1064,0.05,1497.0
68286,1065,0.05,1497.0
68786,1066,0.05,1497.0
69286,1067,0.05,1497.0
69786,1068,0.05,1497.0
70286,1069,0.05,1497.0
70786,1070,0.05,1497.0
71286,1071,0.05,1497.0
71786,1072,0.05,1497.0
72286,1073,0.05,1497.0
72786,1074,0.05,1497.0
73286,1075,0.05,1497.0
73786,1076,0.05,1497.0
74286,1077,0.05,1497.0
74786,1078,0.05,1497.0
75286,1079,0.05,1497.0
75786,1080,0.05,1497.0
76514,1082,0.05,1497.0
77014,1083,0.05,1497.0
77786,1085,0.05,1497.0
78666,1088,0.05,1497.0
79166,1089,0.05,1497.0
80139,1091,0.05,1497.0
80639,1092,0.05,1497.0
81139,1103,0.05,1497.0
81639,1104,0.05,1497.0
82139,1105,0.05,1497.0
83086,1107,0.05,1497.0
83636,1109,0.05,552.0
84306,1111,0.05,1425.0
85004,1114,0.05,645.0
85776,1117,0.05,966.0
86453,1119,0.05,987.0
87195,1121,0.05,939.0
87695,1122,0.05,1497.0
88195,1123,0.05,1497.0
88902,1125,0.05,825.0
89449,1127,0.05,765.0
90113,1129,0.05,1119.0
90710,1131,0.05,945.0
91284,1133,0.05,1101.0
91826,1135,0.05,882.0
92416,1138,0.05,528.0
92929,1140,0.05,780.0
93707,1143,0.05,957.0
94321,1145,0.05,951.0
94911,1147,0.05,903.0
95614,1150,0.05,687.0
96377,1153,0.05,798.0
96988,1156,0.05,822.0
97562,1158,0.05,888.0
98119,1160,0.05,843.0
98701,1162,0.05,939.0
99288,1164,0.05,909.0
99929,1166,0.05,939.0
100470,1168,0.05,684.0
101246,1181,0.05,951.0
101826,1183,0.05,753.0
102339,1185,0.05,753.0
103024,1188,0.05,684.0
103530,1190,0.05,753.0
104211,1193,0.05,684.0
104764,1195,0.05,930.0
105269,1197,0.05,888.0
105978,1200,0.05,744.0
106792,1203,0.05,1023.0
107536,1205,0.05,957.0
108372,1207,0.05,1146.0
108872,1208,0.05,1497.0
109617,1210,0.05,984.0
110237,1212,0.05,837.0
110857,1215,0.05,582.0
111357,1216,0.05,1497.0
112066,1218,0.05,894.0
112776,1220,0.05,1419.0
113276,1221,0.05,1497.0
114020,1223,0.05,1302.0
114843,1225,0.05,1497.0
115343,1226,0.05,1497.0
115843,1227,0.05,1497.0
116677,1229,0.05,1497.0
117177,1230,0.05,1497.0
117677,1231,0.05,1497.0
118177,1232,0.05,1497.0
118677,1233,0.05,1497.0
119440,1235,0.05,1497.0
120172,1237,0.05,1467.0
120672,1238,0.05,1497.0
121324,1250,0.05,819.0
121871,1252,0.05,735.0
122485,1254,0.05,831.0
123203,1257,0.05,789.0
123733,1259,0.05,801.0
124447,1261,0.05,1209.0
125186,1263,0.05,1413.0
125686,1264,0.05,1497.0
126186,1265,0.05,1497.0
126997,1267,0.05,1236.0
127863,1269,0.05,1497.0
128403,1271,0.05,711.0
129119,1273,0.05,1227.0
129781,1275,0.05,1467.0
130452,1278,0.05,1026.0
131121,1281,0.05,705.0
131712,1283,0.05,744.0
132212,1284,0.05,1497.0
132944,1286,0.05,1074.0
133503,1288,0.05,768.0
134006,1290,0.05,642.0
134717,1292,0.05,1497.0
135221,1294,0.05,855.0
135950,1296,0.05,1497.0
136450,1297,0.05,1497.0
136950,1298,0.05,1497.0
137635,1301,0.05,657.0
138135,1302,0.05,1497.0
138977,1304,0.05,1281.0
139604,1307,0.05,576.0
140334,1310,0.05,792.0
141003,1313,0.05,672.0
141511,1325,0.05,624.0
142213,1327,0.05,1410.0
142713,1328,0.05,1497.0
143213,1329,0.05,1497.0
143788,1331,0.05,684.0
144460,1334,0.05,627.0
145047,1336,0.05,1224.0
145563,1338,0.05,1041.0
146167,1340,0.05,879.0
146691,1342,0.05,939.0
147385,1345,0.05,603.0
147885,1346,0.05,1497.0
148385,1347,0.05,1497.0
148885,1348,0.05,1497.0
149385,1349,0.05,1497.0
150297,1351,0.05,1497.0
151018,1353,0.05,1167.0
151518,1354,0.05,1497.0
152235,1356,0.05,1056.0
152735,1357,0.05,1497.0
153316,1359,0.05,819.0
153816,1360,0.05,1497.0
154316,1361,0.05,1497.0
154816,1362,0.05,1497.0
155405,1364,0.05,600.0
156059,1366,0.05,1287.0
156682,1368,0.05,1089.0
157203,1370,0.05,615.0
157890,1373,0.05,756.0
158488,1375,0.05,1014.0
158988,1376,0.05,1497.0
159648,1378,0.05,1260.0
160187,1380,0.05,960.0
160763,1383,0.05,570.0
161269,1386,0.05,567.0
161769,1387,0.05,1497.0
162269,1398,0.05,1497.0
163089,1401,0.05,1227.0
163806,1404,0.05,666.0
164404,1407,0.05,594.0
164932,1409,0.05,984.0
165615,1411,0.05,1059.0
166178,1413,0.05,729.0
166892,1415,0.05,786.0
167419,1417,0.05,864.0
168176,1419,0.05,1497.0
169020,1421,0.05,1488.0
169709,1423,0.05,588.0
170276,1425,0.05,1083.0
170776,1426,0.05,1497.0
171351,1428,0.05,717.0
171998,1431,0.05,657.0
172690,1434,0.05,660.0
173190,1435,0.05,1497.0
173690,1436,0.05,1497.0
174426,1438,0.05,1308.0
175097,1440,0.05,705.0
175693,1442,0.05,807.0
176343,1445,0.05,600.0
176843,1446,0.05,1497.0
177343,1447,0.05,1497.0
178227,1450,0.05,1497.0
178727,1451,0.05,1497.0
179227,1452,0.05,1497.0
179877,1454,0.05,633.0
180422,1456,0.05,804.0
181026,1459,0.05,558.0
181566,1461,0.05,957.0
182119,1474,0.05,648.0
182737,1477,0.05,606.0
183595,1480,0.05,1353.0
184095,1481,0.05,1497.0
184743,1484,0.05,615.0
185529,1486,0.05,1497.0
186204,1489,0.05,741.0
186794,1491,0.05,1125.0
187497,1494,0.05,870.0
188056,1496,0.05,627.0
188566,1498,0.05,798.0
189545,1501,0.05,1497.0
190145,1503,0.05,894.0
190709,1506,0.05,846.0
191501,1508,0.05,1497.0
192286,1510,0.05,930.0
192985,1513,0.05,597.0
193485,1514,0.05,1497.0
193985,1515,0.05,1497.0
