t_env,episode,epsilon,episode_reward
17,1,1.0,67
524,33,0.990367,67
1027,56,0.9810760000000001,123
1551,82,0.97112,123
2051,105,0.961411,79
2561,127,0.9516830000000001,71
3072,151,0.942088,95
3578,175,0.932645,131
4095,198,0.922784,123
4610,221,0.913018,126
5123,243,0.9030050000000001,71
5623,266,0.893752,123
6131,291,0.883853,71
6642,314,0.874277,99
7171,337,0.864378,131
7671,360,0.854688,91
8183,383,0.844865,71
8689,405,0.835346,91
9210,429,0.825561,115
9728,452,0.815681,107
10252,477,0.805687,99
10757,497,0.796149,111
11267,521,0.78625,67
11774,543,0.7766930000000001,83
12302,565,0.767212,199
12806,589,0.757009,67
13330,612,0.747414,143
13844,635,0.737401,91
14345,655,0.727825,79
14864,678,0.717983,83
15376,699,0.708559,147
15886,718,0.6986220000000001,95
16390,738,0.689046,95
16920,758,0.6792800000000001,159
17425,775,0.669533,127
17933,792,0.6598620000000001,123
18466,812,0.6498490000000001,147
18984,830,0.639874,119
19485,847,0.6300890000000001,63
20010,864,0.620741,195
20515,891,0.61107,179
21044,907,0.6010570000000001,187
21557,924,0.5910250000000001,127
22087,937,0.5814110000000001,223
22596,948,0.571474,167
23117,962,0.561594,171
23673,978,0.551315,231
24179,992,0.5413780000000001,163
24708,1004,0.5312700000000001,151
25232,1018,0.5215230000000001,195
25772,1031,0.511339,211
26289,1045,0.5012690000000001,158
26806,1057,0.491978,271
27337,1069,0.481395,167
27857,1082,0.47189500000000006,247
28385,1094,0.46152100000000007,175
28921,1106,0.451736,258
29436,1117,0.4419890000000001,267
29942,1128,0.431976,183
30475,1139,0.4224000000000001,299
31005,1149,0.41193100000000005,214
31556,1159,0.4016900000000001,263
32056,1170,0.39171500000000004,163
32584,1181,0.38181600000000004,191
33108,1192,0.37195500000000004,211
33611,1202,0.36230300000000004,191
34137,1213,0.35219500000000004,167
34669,1223,0.34225800000000006,203
35207,1233,0.3321120000000001,219
35721,1243,0.32209900000000014,167
36254,1253,0.3123520000000001,247
36780,1262,0.30230100000000004,235
37281,1270,0.29270600000000013,219
37833,1280,0.2822180000000001,219
38386,1290,0.2720150000000001,283
38893,1299,0.26205900000000004,215
39401,1308,0.25236900000000007,207
39906,1317,0.2428880000000001,231
