t_env,episode,epsilon,episode_reward
24,1,1.0,95
537,34,0.990158,75
1048,58,0.980544,95
1552,82,0.97093,87
2062,106,0.961202,79
2573,128,0.95155,91
3086,152,0.941841,99
3591,175,0.932113,70
4101,197,0.922537,95
4616,222,0.912752,94
5125,245,0.903043,87
5628,269,0.893448,79
6139,291,0.883872,107
6643,313,0.874258,99
7160,335,0.8644350000000001,99
7679,358,0.854631,111
8180,380,0.844979,83
8683,402,0.835593,119
9205,423,0.8258460000000001,155
9706,442,0.816118,111
10214,462,0.806257,67
10739,481,0.7967,155
11269,501,0.786592,147
11777,521,0.7766550000000001,87
12278,540,0.7670790000000001,75
12789,556,0.757598,123
13289,572,0.747908,83
13809,587,0.7381040000000001,99
14333,604,0.7285280000000001,179
14842,620,0.718496,103
15357,636,0.708825,127
15870,652,0.698964,103
16391,667,0.689331,159
16908,684,0.6793560000000001,127
17435,699,0.6697420000000001,211
17946,714,0.659444,87
18463,729,0.6499630000000001,159
18992,743,0.6402350000000001,227
19514,758,0.63026,215
20014,772,0.62038,135
20515,795,0.611051,175
21044,810,0.600981,171
21567,824,0.591215,207
22081,838,0.5810120000000001,115
22621,851,0.571056,179
23145,863,0.560986,155
23669,873,0.5515240000000001,259
24188,885,0.5415300000000001,231
24724,897,0.5313270000000001,227
25231,909,0.521105,103
25739,920,0.5118710000000001,191
26246,932,0.5019150000000001,123
26814,942,0.49239600000000006,391
27359,951,0.481414,259
27892,961,0.4708120000000001,159
28430,968,0.46087500000000003,219
28976,977,0.45091900000000007,307
29481,985,0.4409250000000001,223
29997,993,0.4312920000000001,259
30498,999,0.42203900000000005,315
31000,1007,0.4121020000000001,231
31545,1015,0.40226000000000006,339
32109,1024,0.39190500000000006,415
32631,1032,0.38134100000000004,279
33194,1040,0.3705870000000001,267
33694,1047,0.361619,379
34249,1055,0.35054200000000013,267
34782,1063,0.34064300000000003,315
35316,1071,0.32996500000000006,203
35871,1080,0.31959100000000007,239
36455,1088,0.3093880000000001,427
36988,1095,0.29888100000000006,347
37549,1102,0.2879560000000001,291
38074,1109,0.27819000000000005,335
38628,1116,0.26755000000000007,311
39171,1124,0.25698600000000005,259
39731,1131,0.2467450000000001,343
40304,1148,0.23625700000000005,427
40888,1154,0.2248000000000001,351
41466,1161,0.21427400000000008,447
42024,1167,0.2035960000000001,431
42595,1173,0.19286100000000006,455
43162,1179,0.18161300000000014,355
43739,1185,0.17068800000000006,363
44302,1191,0.16065600000000013,503
44819,1196,0.15018700000000007,367
45337,1201,0.14059200000000016,419
45889,1206,0.13004700000000013,407
46464,1211,0.1195210000000001,491
46988,1216,0.10948900000000006,475
47558,1221,0.09852600000000011,447
48154,1226,0.08739200000000014,487
48668,1231,0.07730300000000012,419
49180,1236,0.06767000000000012,439
49755,1241,0.05704900000000013,503
50291,1246,0.05,403
50847,1251,0.05,411
51405,1257,0.05,371
51930,1262,0.05,355
52432,1265,0.05,579
52944,1270,0.05,479
53508,1275,0.05,423
54021,1280,0.05,347
54544,1286,0.05,351
55149,1291,0.05,451
55693,1296,0.05,507
56228,1301,0.05,423
56744,1306,0.05,327
57262,1311,0.05,491
57771,1316,0.05,423
58338,1321,0.05,439
58858,1326,0.05,375
59382,1331,0.05,407
59918,1336,0.05,459
60418,1351,0.05,283
60980,1356,0.05,439
61585,1361,0.05,531
62185,1367,0.05,519
62724,1372,0.05,423
63234,1377,0.05,463
63810,1382,0.05,487
64352,1387,0.05,399
64912,1392,0.05,495
65511,1397,0.05,467
66058,1401,0.05,611
66614,1406,0.05,379
67122,1410,0.05,498
67669,1415,0.05,531
68265,1420,0.05,555
68772,1424,0.05,487
69333,1428,0.05,475
69916,1433,0.05,387
70423,1437,0.05,579
70941,1441,0.05,579
71492,1446,0.05,387
72083,1451,0.05,495
72599,1455,0.05,487
73170,1459,0.05,571
73676,1463,0.05,487
74182,1467,0.05,539
74735,1471,0.05,491
75277,1475,0.05,743
75795,1479,0.05,503
76338,1483,0.05,547
76842,1487,0.05,559
77394,1491,0.05,567
77927,1497,0.05,459
78444,1502,0.05,455
78949,1507,0.05,339
79545,1513,0.05,399
80067,1518,0.05,387
80608,1533,0.05,395
81123,1538,0.05,415
81702,1544,0.05,455
82274,1550,0.05,379
82805,1555,0.05,523
83379,1562,0.05,379
83904,1567,0.05,411
84445,1572,0.05,367
85024,1578,0.05,335
85548,1582,0.05,571
86111,1587,0.05,427
