t_env,episode,epsilon,episode_reward
21,1,1.0,83
525,33,0.990481,95
1040,57,0.980639,82
1553,81,0.970854,75
2053,105,0.961373,79
2568,130,0.9516830000000001,99
3087,154,0.941841,103
3592,180,0.932189,91
4092,203,0.92286,127
4597,226,0.913018,75
5097,248,0.903632,99
5607,272,0.893885,87
6119,295,0.884157,87
6627,318,0.874467,79
7143,341,0.864644,75
7655,362,0.854935,79
8165,381,0.84534,98
8675,402,0.835631,95
9195,422,0.8258650000000001,119
9708,443,0.8160040000000001,95
10219,464,0.806295,95
10740,485,0.796396,95
11259,504,0.7866110000000001,111
11766,523,0.776921,99
12291,541,0.767003,111
12813,560,0.7571990000000001,134
13316,580,0.747585,123
13837,599,0.7376290000000001,111
14357,618,0.727844,131
14881,636,0.717774,107
15393,653,0.708027,103
15925,671,0.698242,171
16450,686,0.688191,155
16976,701,0.6783110000000001,179
17483,718,0.6681650000000001,71
17984,732,0.6591210000000001,171
18494,747,0.649298,143
19025,762,0.6392470000000001,151
19529,776,0.6295000000000001,115
20038,790,0.619905,131
20554,813,0.610291,171
21055,826,0.6006770000000001,151
21587,838,0.5906450000000001,167
22087,851,0.581563,255
22616,865,0.5709230000000001,131
23135,878,0.561556,235
23668,891,0.5511820000000001,183
24192,903,0.5410170000000001,139
24732,916,0.531023,195
25253,929,0.5207820000000001,123
25770,941,0.5110350000000001,139
26279,952,0.501687,207
26782,962,0.49190200000000006,159
27304,974,0.4819270000000001,147
27805,986,0.4725790000000001,183
28315,997,0.4628700000000001,179
28839,1009,0.4527810000000001,151
29393,1021,0.4429580000000001,299
29944,1031,0.43212800000000007,223
30454,1041,0.4224000000000001,215
30988,1051,0.412235,211
31498,1060,0.4026210000000001,227
32042,1069,0.39238000000000006,247
32600,1077,0.3817210000000001,235
33141,1086,0.37144200000000005,235
33659,1095,0.36139100000000013,191
34182,1103,0.35189100000000006,283
34693,1111,0.34203000000000006,251
35218,1119,0.3322830000000001,299
35759,1127,0.32160500000000003,215
36287,1135,0.31191500000000005,287
36836,1144,0.30131300000000005,250
37360,1153,0.2913000000000001,239
37876,1161,0.2819140000000001,327
38381,1169,0.27197700000000014,255
38898,1177,0.2621540000000001,255
39414,1186,0.25240700000000005,267
39919,1194,0.2424130000000001,183
40462,1213,0.2325330000000001,275
40996,1222,0.22236800000000012,271
41510,1231,0.21243100000000015,235
42049,1240,0.20232300000000014,263
42587,1250,0.19210100000000008,263
43130,1260,0.1819550000000001,299
43637,1268,0.17218900000000015,271
44137,1277,0.16223300000000007,175
44668,1286,0.15237200000000006,223
45217,1295,0.14186500000000013,207
45783,1303,0.13141500000000006,271
46323,1310,0.12094600000000011,227
46841,1318,0.11121800000000015,251
47374,1326,0.10103400000000007,239
47937,1334,0.09075500000000014,327
48451,1340,0.08102700000000007,335
48968,1347,0.07086200000000009,263
49568,1354,0.060165000000000135,411
50094,1361,0.05,271
50679,1369,0.05,375
51203,1376,0.05,219
51748,1384,0.05,267
52303,1391,0.05,343
52836,1398,0.05,287
53381,1404,0.05,371
53977,1410,0.05,411
54490,1416,0.05,223
55045,1422,0.05,379
55545,1428,0.05,319
56084,1434,0.05,427
56680,1441,0.05,419
57215,1446,0.05,507
