t_env,episode,epsilon,episode_reward
52,1,1.0,408
599,21,0.990158,458
1128,30,0.979233,408
1638,39,0.970303,566
2241,47,0.959853,546
2753,56,0.9487760000000001,516
3275,65,0.93863,422
3780,74,0.929225,479
4308,83,0.919345,478
4865,94,0.9087810000000001,455
5370,102,0.899889,613
5922,112,0.888603,472
6450,121,0.878951,514
6983,131,0.86833,449
7517,141,0.858678,466
8066,152,0.847791,493
8597,160,0.838462,486
9144,170,0.827632,583
9670,180,0.816897,393
10191,190,0.8075110000000001,436
10695,201,0.797593,361
11276,212,0.787409,490
11783,221,0.7772060000000001,439
12291,230,0.767782,456
12812,240,0.757712,444
13345,251,0.7472810000000001,421
13908,262,0.737002,518
14408,272,0.727635,404
14956,282,0.7174130000000001,548
15468,292,0.706887,428
16026,301,0.697824,643
16530,312,0.6870130000000001,491
17038,322,0.6768670000000001,363
17547,333,0.667633,443
18058,342,0.6576770000000001,416
18569,351,0.64869,500
19107,362,0.637708,428
19628,371,0.628835,588
20168,391,0.6176630000000001,413
20698,401,0.607593,356
21226,413,0.5973140000000001,371
21769,424,0.58751,404
22284,433,0.5775730000000001,473
22821,445,0.5672940000000001,461
23336,455,0.5573950000000001,438
23871,465,0.547363,465
24394,473,0.5376160000000001,522
24979,485,0.5270330000000001,572
25481,493,0.517248,469
25989,502,0.5072920000000001,496
26505,512,0.4978680000000001,557
27057,521,0.48713300000000004,542
27568,530,0.47725300000000004,474
28140,538,0.46684100000000006,494
28690,548,0.45606800000000003,459
29239,558,0.4455420000000001,503
29826,568,0.43505400000000005,539
30329,577,0.4248510000000001,505
30839,585,0.41552200000000006,506
31382,592,0.40537600000000007,606
31952,599,0.39435600000000004,576
32499,608,0.3834310000000001,521
33028,617,0.3732470000000001,491
33622,625,0.3634240000000001,575
34176,634,0.35191000000000006,573
34703,643,0.3417260000000001,496
35227,651,0.3320360000000001,528
35772,658,0.32133900000000004,523
36308,667,0.31115500000000007,558
36829,675,0.3014270000000001,627
37380,681,0.29120500000000005,655
37899,687,0.28162900000000013,655
38399,693,0.27190100000000006,746
38939,701,0.26110900000000015,525
39587,708,0.25071600000000005,718
40143,715,0.23863200000000007,599
40697,732,0.22803000000000007,702
41232,738,0.21796000000000004,630
41744,746,0.2079660000000001,701
42318,754,0.1978580000000001,601
42885,760,0.18761700000000014,893
43559,766,0.17604600000000015,684
44074,772,0.16468400000000005,800
44587,778,0.15484200000000015,790
45183,783,0.1472230000000001,1089
45743,790,0.1327830000000001,883
46298,796,0.1221810000000001,894
46921,801,0.11118000000000006,814
47481,808,0.09930500000000009,791
48049,813,0.08931100000000014,856
48578,817,0.07874700000000012,814
49090,822,0.06951300000000016,879
49624,826,0.059443000000000135,895
50210,831,0.05,893
50760,836,0.05,1012
51266,841,0.05,836
51789,847,0.05,735
52417,851,0.05,1128
52970,857,0.05,852
53491,861,0.05,751
54002,865,0.05,1309
54638,870,0.05,1234
55173,875,0.05,975
55727,880,0.05,1038
56348,885,0.05,933
56997,890,0.05,1341
57540,893,0.05,1162
58068,897,0.05,1155
58629,902,0.05,1247
59206,906,0.05,1229
59730,911,0.05,952
60299,914,0.05,1429
61090,929,0.05,1372
61635,933,0.05,1052
62254,938,0.05,1311
62910,941,0.05,1192
63539,945,0.05,1173
64135,949,0.05,1302
64739,953,0.05,1053
65403,957,0.05,1145
66024,961,0.05,1390
66535,964,0.05,1088
67145,968,0.05,1371
67711,972,0.05,1314
68343,976,0.05,1532
68937,980,0.05,1130
69452,983,0.05,1375
69952,985,0.05,1598
70610,989,0.05,1501
71289,993,0.05,1383
71866,995,0.05,1734
72655,999,0.05,1532
73160,1002,0.05,1584
73871,1006,0.05,1667
74572,1010,0.05,1613
75119,1013,0.05,1385
75726,1016,0.05,1912
76282,1019,0.05,1211
76870,1022,0.05,1218
77530,1026,0.05,1727
78042,1029,0.05,1550
78728,1032,0.05,1890
79266,1035,0.05,1639
79792,1037,0.05,1637
80460,1041,0.05,1358
81076,1054,0.05,1350
81671,1057,0.05,1493
82248,1060,0.05,1541
82858,1063,0.05,1618
83416,1065,0.05,1880
84087,1068,0.05,2079
84674,1071,0.05,1648
85303,1074,0.05,1607
85888,1077,0.05,1771
86556,1081,0.05,1829
87097,1083,0.05,2102
87743,1086,0.05,1631
88267,1088,0.05,1929
88833,1090,0.05,1881
89386,1093,0.05,1902
90090,1096,0.05,2161
90645,1098,0.05,1712
91331,1101,0.05,1875
91968,1104,0.05,2057
92468,1106,0.05,1712
93174,1109,0.05,1954
93811,1112,0.05,1864
94465,1115,0.05,1475
95249,1118,0.05,2102
95988,1121,0.05,2100
96568,1124,0.05,1817
97288,1127,0.05,2128
98059,1131,0.05,1992
98566,1133,0.05,2071
99161,1135,0.05,2347
99821,1138,0.05,2238
100483,1141,0.05,1913
101281,1154,0.05,2122
101975,1157,0.05,2074
102747,1160,0.05,2243
103281,1162,0.05,1688
104078,1165,0.05,1897
104729,1168,0.05,1995
105328,1170,0.05,1871
105928,1172,0.05,2407
106528,1174,0.05,2235
107128,1176,0.05,2484
107728,1178,0.05,2111
108446,1181,0.05,2008
109177,1184,0.05,2364
109709,1186,0.05,2144
110498,1189,0.05,2283
111061,1191,0.05,2104
111595,1193,0.05,2255
112195,1195,0.05,2605
112834,1198,0.05,2105
113512,1201,0.05,2489
114036,1203,0.05,2118
114792,1206,0.05,2538
115320,1208,0.05,2329
115870,1210,0.05,2717
116638,1213,0.05,2570
117377,1216,0.05,2612
117977,1218,0.05,2540
118492,1220,0.05,2200
119092,1222,0.05,2460
119859,1225,0.05,2519
120459,1227,0.05,2549
121059,1239,0.05,2790
121609,1241,0.05,2039
122209,1243,0.05,2965
122793,1245,0.05,2291
123393,1247,0.05,2581
123974,1249,0.05,2764
124574,1251,0.05,2614
125174,1253,0.05,2165
125774,1255,0.05,2416
126374,1257,0.05,2340
126945,1259,0.05,2594
127492,1261,0.05,2706
128092,1263,0.05,2508
128692,1265,0.05,3088
129238,1267,0.05,2359
129838,1269,0.05,2657
130438,1271,0.05,2543
130961,1273,0.05,2354
131561,1275,0.05,2734
132161,1277,0.05,2838
132761,1279,0.05,2555
133361,1281,0.05,2782
133943,1283,0.05,2435
134471,1285,0.05,2064
135050,1287,0.05,2739
135633,1289,0.05,2845
136233,1291,0.05,3257
136833,1293,0.05,2541
137367,1295,0.05,2216
137967,1297,0.05,2635
138567,1299,0.05,3140
139167,1301,0.05,2332
139767,1303,0.05,3674
140367,1305,0.05,2551
140967,1307,0.05,3892
141567,1319,0.05,2577
142167,1321,0.05,2612
142767,1323,0.05,3072
143362,1325,0.05,2235
143962,1327,0.05,2692
144562,1329,0.05,3137
145162,1331,0.05,2358
145762,1333,0.05,2959
146362,1335,0.05,2891
146962,1337,0.05,2722
147562,1339,0.05,2743
148162,1341,0.05,3160
148762,1343,0.05,3019
149362,1345,0.05,2949
149962,1347,0.05,2599
150562,1349,0.05,3521
151162,1351,0.05,2835
151762,1353,0.05,2462
152555,1356,0.05,2789
153352,1359,0.05,2543
153952,1361,0.05,3479
154552,1363,0.05,3725
155152,1365,0.05,3424
155675,1367,0.05,2396
156275,1369,0.05,3113
156875,1371,0.05,3038
157475,1373,0.05,3270
158075,1375,0.05,3440
158675,1377,0.05,2824
159275,1379,0.05,3167
159875,1381,0.05,3284
160475,1383,0.05,3467
161075,1385,0.05,3667
161675,1397,0.05,3622
162275,1399,0.05,3997
162875,1401,0.05,3070
163475,1403,0.05,3396
164075,1405,0.05,3343
164675,1407,0.05,3531
165275,1409,0.05,3530
165875,1411,0.05,3163
166475,1413,0.05,3342
167075,1415,0.05,3425
167644,1417,0.05,2984
168235,1419,0.05,3265
168835,1421,0.05,3679
169435,1423,0.05,3392
170035,1425,0.05,3785
170635,1427,0.05,2874
171235,1429,0.05,3849
171835,1431,0.05,3143
172435,1433,0.05,2810
173035,1435,0.05,3370
173635,1437,0.05,3509
174235,1439,0.05,3199
174835,1441,0.05,3515
175435,1443,0.05,3096
176035,1445,0.05,3277
176635,1447,0.05,3395
177235,1449,0.05,3202
177835,1451,0.05,3733
178435,1453,0.05,3185
179035,1455,0.05,3017
179635,1457,0.05,3595
180235,1459,0.05,3579
180835,1461,0.05,3525
181435,1473,0.05,3315
182035,1475,0.05,2804
182635,1477,0.05,2928
183235,1479,0.05,3426
183835,1481,0.05,2855
184435,1483,0.05,3089
185035,1485,0.05,4062
185635,1487,0.05,3434
186235,1489,0.05,3507
186771,1491,0.05,3074
187371,1493,0.05,3087
187971,1495,0.05,2300
188571,1497,0.05,2966
189171,1499,0.05,3005
189771,1501,0.05,3739
190371,1503,0.05,3253
190971,1505,0.05,3076
191571,1507,0.05,3653
192171,1509,0.05,3160
192771,1511,0.05,3699
193371,1513,0.05,4022
193971,1515,0.05,3582
194571,1517,0.05,3469
195171,1519,0.05,3504
195771,1521,0.05,2832
196340,1523,0.05,2753
196940,1525,0.05,2575
197540,1527,0.05,3776
198140,1529,0.05,3349
198740,1531,0.05,3366
199334,1533,0.05,3409
199934,1535,0.05,3794
200534,1537,0.05,3460
201134,1539,0.05,3700
201715,1551,0.05,2959
202315,1553,0.05,2963
202915,1555,0.05,3326
203515,1557,0.05,3606
204115,1559,0.05,3245
204715,1561,0.05,2756
205315,1563,0.05,3323
205915,1565,0.05,3886
206515,1567,0.05,3416
207115,1569,0.05,3138
207715,1571,0.05,3661
208315,1573,0.05,3693
208915,1575,0.05,3404
209515,1577,0.05,4190
210115,1579,0.05,3914
210715,1581,0.05,2504
211315,1583,0.05,2813
211915,1585,0.05,4218
212515,1587,0.05,3647
213115,1589,0.05,2817
213715,1591,0.05,3220
214315,1593,0.05,2782
214915,1595,0.05,2578
215515,1597,0.05,2794
216115,1599,0.05,3658
216715,1601,0.05,4105
217315,1603,0.05,3253
217915,1605,0.05,3382
218515,1607,0.05,3045
219115,1609,0.05,3330
219715,1611,0.05,3341
220315,1613,0.05,3189
220915,1615,0.05,3454
221515,1617,0.05,3189
222115,1629,0.05,2974
222715,1631,0.05,2356
223315,1633,0.05,3603
223915,1635,0.05,3509
224515,1637,0.05,3582
225115,1639,0.05,3744
225715,1641,0.05,4306
226315,1643,0.05,3863
226915,1645,0.05,3557
227515,1647,0.05,3036
228115,1649,0.05,2964
228715,1651,0.05,2823
229315,1653,0.05,3942
229915,1655,0.05,4051
230515,1657,0.05,3725
231115,1659,0.05,3212
231715,1661,0.05,3150
232315,1663,0.05,4240
232915,1665,0.05,3297
233515,1667,0.05,3458
234115,1669,0.05,3843
234715,1671,0.05,3312
235315,1673,0.05,3398
235915,1675,0.05,3768
236515,1677,0.05,2925
237115,1679,0.05,3886
237715,1681,0.05,3563
238315,1683,0.05,4151
238915,1685,0.05,3642
239515,1687,0.05,3657
240115,1689,0.05,2798
240715,1691,0.05,4015
241315,1693,0.05,2727
241915,1705,0.05,2731
242515,1707,0.05,3184
243115,1709,0.05,3584
243715,1711,0.05,2980
244315,1713,0.05,3407
244915,1715,0.05,3537
245515,1717,0.05,3446
246115,1719,0.05,3918
246709,1721,0.05,3203
247309,1723,0.05,3734
247909,1725,0.05,3450
248509,1727,0.05,3285
249109,1729,0.05,3594
249709,1731,0.05,3904
250309,1733,0.05,3794
250909,1735,0.05,4032
251489,1737,0.05,4092
252089,1739,0.05,4012
252689,1741,0.05,3128
253289,1743,0.05,3818
253889,1745,0.05,3408
254489,1747,0.05,3757
255089,1749,0.05,3453
255689,1751,0.05,3885
256289,1753,0.05,3539
256889,1755,0.05,3984
257489,1757,0.05,3200
258089,1759,0.05,2918
258689,1761,0.05,3288
259289,1763,0.05,3306
259889,1765,0.05,3649
260489,1767,0.05,4154
261089,1769,0.05,3527
261689,1771,0.05,3169
262289,1783,0.05,3806
262889,1785,0.05,3269
263489,1787,0.05,3636
264089,1789,0.05,3402
264689,1791,0.05,3158
265289,1793,0.05,3066
265889,1795,0.05,2804
266478,1797,0.05,3622
267078,1799,0.05,3390
267678,1801,0.05,3573
268278,1803,0.05,3538
268878,1805,0.05,4242
269478,1807,0.05,3599
270078,1809,0.05,3145
270678,1811,0.05,3310
271278,1813,0.05,3356
271878,1815,0.05,3652
272478,1817,0.05,3697
273078,1819,0.05,3861
273678,1821,0.05,3521
274278,1823,0.05,3606
274878,1825,0.05,3444
275478,1827,0.05,3765
276018,1829,0.05,3337
276618,1831,0.05,3976
277218,1833,0.05,3231
277818,1835,0.05,3718
278418,1837,0.05,3765
278961,1839,0.05,3708
279561,1841,0.05,3477
280161,1843,0.05,3715
280761,1845,0.05,3624
281310,1847,0.05,2730
281910,1849,0.05,3304
282510,1861,0.05,4077
283110,1863,0.05,4141
283710,1865,0.05,3629
284310,1867,0.05,3823
284910,1869,0.05,4387
285510,1871,0.05,3672
286110,1873,0.05,3123
286710,1875,0.05,4091
287310,1877,0.05,4271
287910,1879,0.05,3955
288510,1881,0.05,4100
289099,1883,0.05,3467
289699,1885,0.05,3594
290299,1887,0.05,4015
290899,1889,0.05,3341
291499,1891,0.05,3853
292099,1893,0.05,3896
292699,1895,0.05,3426
293299,1897,0.05,3430
293899,1899,0.05,3323
294499,1901,0.05,3841
295051,1903,0.05,2792
295651,1905,0.05,3339
296251,1907,0.05,3385
296851,1909,0.05,4486
297430,1911,0.05,3851
298030,1913,0.05,3668
298630,1915,0.05,3069
299230,1917,0.05,3423
299830,1919,0.05,3883
300430,1921,0.05,3911
301030,1923,0.05,3261
301630,1925,0.05,2849
302230,1937,0.05,3783
302830,1939,0.05,3652
303430,1941,0.05,3905
304030,1943,0.05,3626
304630,1945,0.05,3108
305230,1947,0.05,3435
305830,1949,0.05,2704
306430,1951,0.05,4040
307030,1953,0.05,3733
307630,1955,0.05,3983
308230,1957,0.05,4452
308830,1959,0.05,3477
309430,1961,0.05,3234
310030,1963,0.05,3530
310630,1965,0.05,3819
311230,1967,0.05,3041
311830,1969,0.05,3730
312430,1971,0.05,3114
313030,1973,0.05,3358
313630,1975,0.05,3344
314169,1977,0.05,2732
314769,1979,0.05,3746
315369,1981,0.05,4005
315969,1983,0.05,3209
316569,1985,0.05,3656
317169,1987,0.05,2906
317769,1989,0.05,3635
318361,1991,0.05,3030
