t_env,episode,epsilon,episode_reward
43,1,1.0,411
572,20,0.990139,512
1079,31,0.980259,413
1649,41,0.970265,510
2160,51,0.960043,513
2703,62,0.949669,406
3262,71,0.939295,516
3780,81,0.92932,552
4316,91,0.919022,470
4861,100,0.908553,451
5397,110,0.8981600000000001,398
5942,123,0.888147,507
6488,132,0.8784000000000001,451
7007,143,0.867475,354
7526,152,0.857766,380
8027,161,0.8483040000000001,467
8554,171,0.8384050000000001,561
9107,180,0.82805,431
9608,188,0.818569,450
10155,197,0.8080430000000001,433
10709,207,0.797669,452
11241,217,0.787219,428
11779,227,0.7771870000000001,406
12294,237,0.767288,391
12808,246,0.7591180000000001,508
13359,257,0.7472810000000001,470
13922,265,0.736793,431
14432,273,0.7265520000000001,350
14945,283,0.717014,477
15446,293,0.707343,406
16000,302,0.6971210000000001,506
16510,310,0.687716,493
17037,323,0.6769050000000001,384
17569,333,0.666892,422
18075,342,0.657297,406
18662,352,0.6475120000000001,431
19187,361,0.636207,406
19721,369,0.626916,452
20278,389,0.615858,402
20784,399,0.606282,441
21309,411,0.5958700000000001,398
21820,423,0.5862560000000001,408
22340,433,0.5766800000000001,454
22866,443,0.56642,409
23369,452,0.556787,381
23877,463,0.547382,422
24397,475,0.5371410000000001,363
24960,485,0.527204,424
25545,495,0.516279,459
26080,505,0.505183,348
26597,516,0.49526500000000007,354
27117,528,0.48540400000000006,318
27666,538,0.4754290000000001,414
28187,548,0.464998,295
28717,559,0.45527000000000006,359
29231,571,0.44539000000000006,341
29765,583,0.43551000000000006,434
30340,592,0.42568700000000004,532
30847,602,0.41457200000000005,320
31352,612,0.4051100000000001,456
31856,623,0.3954390000000001,343
32372,632,0.3865660000000001,467
32880,641,0.3762110000000001,437
33428,652,0.3660080000000001,445
33928,660,0.35626100000000005,365
34473,670,0.34668500000000013,411
34978,680,0.3366150000000001,475
35492,691,0.3265260000000001,384
35997,700,0.3173870000000001,486
36539,710,0.30659500000000006,367
37075,721,0.29629700000000003,379
37591,731,0.28685400000000005,418
38098,741,0.27699300000000004,357
38612,751,0.2672460000000001,403
39115,762,0.2576320000000001,386
39662,774,0.24733400000000005,489
40243,792,0.23796700000000004,602
40778,801,0.22607300000000008,391
41313,810,0.21609800000000012,428
41820,818,0.20661700000000005,401
42334,828,0.19679400000000014,519
42856,838,0.18716100000000013,525
43371,847,0.17716700000000007,479
43901,856,0.16704000000000008,485
44427,864,0.1575780000000001,668
45020,872,0.14684300000000006,804
45524,878,0.1361650000000001,529
46129,886,0.12562000000000006,544
46651,893,0.11429600000000006,393
47200,902,0.10479600000000011,522
47739,911,0.09411800000000015,526
48278,919,0.08440900000000007,639
48833,927,0.07329400000000008,579
49356,933,0.06352800000000014,702
49889,941,0.05326800000000009,420
50461,949,0.05,658
50961,956,0.05,523
51491,965,0.05,581
52077,973,0.05,736
52628,981,0.05,584
53179,992,0.05,448
53691,1002,0.05,393
54217,1010,0.05,505
54741,1019,0.05,392
55243,1031,0.05,459
55766,1040,0.05,616
56287,1052,0.05,394
56797,1062,0.05,454
57360,1073,0.05,522
57892,1082,0.05,557
58424,1090,0.05,527
58968,1101,0.05,543
59482,1111,0.05,491
60019,1121,0.05,504
60531,1138,0.05,520
61100,1147,0.05,599
61613,1155,0.05,523
62163,1164,0.05,548
62730,1173,0.05,568
63265,1180,0.05,488
63808,1189,0.05,648
64358,1198,0.05,442
64861,1205,0.05,611
65380,1211,0.05,637
65901,1218,0.05,644
66412,1226,0.05,622
66941,1235,0.05,526
67472,1243,0.05,442
67976,1251,0.05,535
68533,1259,0.05,494
69051,1268,0.05,580
69560,1277,0.05,461
70103,1286,0.05,584
70654,1296,0.05,533
71251,1305,0.05,657
71786,1313,0.05,553
72298,1321,0.05,603
72827,1328,0.05,549
73371,1336,0.05,563
73878,1344,0.05,574
74380,1352,0.05,650
74944,1361,0.05,585
75515,1368,0.05,610
76047,1375,0.05,672
76585,1383,0.05,694
77118,1389,0.05,786
77630,1396,0.05,691
78162,1403,0.05,656
78695,1410,0.05,631
79213,1416,0.05,608
79769,1422,0.05,766
80318,1438,0.05,661
80867,1443,0.05,1065
81389,1447,0.05,883
82027,1452,0.05,1208
82601,1458,0.05,819
83109,1463,0.05,723
83612,1469,0.05,703
84178,1473,0.05,865
84698,1477,0.05,862
85236,1483,0.05,766
85758,1488,0.05,983
86276,1493,0.05,769
86823,1499,0.05,768
87369,1504,0.05,900
87880,1509,0.05,934
