t_env,episode,epsilon,episode_reward
50,1,1.0,2.022591622530299
550,21,0.9905,2.1281833107805777
1050,31,0.981,4.733169372874673
1550,41,0.9715,-0.4259811907977266
2050,51,0.962,8.073959505118884
2550,61,0.9525,-0.24506722049226726
3050,71,0.9430000000000001,-0.607210740723732
3550,81,0.9335,5.295457544189637
4050,91,0.924,15.300297886237438
4550,101,0.9145,-0.7395054028918796
5050,111,0.905,15.130813386158025
5550,121,0.8955,3.2816912711609203
6050,131,0.886,4.1858886759539695
6550,141,0.8765000000000001,17.4510155519101
7050,151,0.867,8.296701991619878
7550,161,0.8575,-0.0035674058123237526
8050,171,0.8480000000000001,4.35632741199557
8550,181,0.8385,7.823221882486669
9050,191,0.829,8.286922140811312
9550,201,0.8195,1.8560209388218538
10050,211,0.81,4.636084128958807
10550,221,0.8005,0.8002309482951484
11050,231,0.791,7.33671308831929
11550,241,0.7815000000000001,1.77907674251879
12050,251,0.772,11.472003845055838
12550,261,0.7625000000000001,21.31000923220168
13050,271,0.753,5.011130751021309
13550,281,0.7435,14.406164695460491
14050,291,0.734,1.8881824638721147
14550,301,0.7245,1.5203801347132995
15050,311,0.7150000000000001,13.049425129266657
15550,321,0.7055,8.239691805659085
16050,331,0.6960000000000001,7.375168681592943
16550,341,0.6865000000000001,6.0303063366393825
17050,351,0.677,16.980503605647492
17550,361,0.6675,9.198971659096557
18050,371,0.658,17.285573263727105
18550,381,0.6485000000000001,1.66589427635625
19050,391,0.639,9.863450115844168
19550,401,0.6295000000000001,8.993514002622524
20050,411,0.6200000000000001,1.718686513462983
20550,431,0.6105,7.119202136168994
21050,441,0.601,2.550738592382484
21550,451,0.5915,14.379420239648665
22050,461,0.5820000000000001,1.6699131849157012
22550,471,0.5725,1.6062395394164062
23050,481,0.5630000000000001,1.6983396120913887
23550,491,0.5535000000000001,5.813521509269461
24050,501,0.544,12.200465446778281
24550,511,0.5345,5.01758808234746
25050,521,0.5250000000000001,1.7195333418464929
25550,531,0.5155000000000001,1.7959450056134076
26050,541,0.506,5.166696227250754
26550,551,0.49650000000000005,2.6316115921710352
27050,561,0.4870000000000001,20.179712664543814
27550,571,0.47750000000000004,1.7150642667057614
28050,581,0.4680000000000001,15.060698554048052
28550,591,0.4585,1.5295665914796053
29050,601,0.44900000000000007,7.845385894808166
29550,611,0.4395000000000001,1.7351368839199977
30050,621,0.43000000000000005,2.8103556412412374
30550,631,0.4205000000000001,4.884283223169267
31050,641,0.41100000000000003,1.5204728454875511
31550,651,0.4015000000000001,3.680144802187662
32050,661,0.3920000000000001,6.384625286269711
32550,671,0.38250000000000006,3.595704308567879
33050,681,0.3730000000000001,12.310405908661227
33550,691,0.36350000000000005,2.479956749216805
34050,701,0.3540000000000001,30.006443664002855
34550,711,0.34450000000000003,39.04990511090194
35050,721,0.3350000000000001,15.423194417545838
35550,731,0.3255000000000001,6.008706198410257
36050,741,0.31600000000000006,3.176762393682356
36550,751,0.3065000000000001,21.237662273340526
37050,761,0.29700000000000004,4.828413724648149
37550,771,0.2875000000000001,6.003808478618225
38050,781,0.27800000000000014,7.933770882647899
38550,791,0.26850000000000007,15.970280850771509
39050,801,0.2590000000000001,19.511868005542766
39550,811,0.24950000000000006,13.649989350511134
40050,821,0.2400000000000001,-5.082415824215917
40550,841,0.23050000000000015,18.54204903748885
41050,851,0.22100000000000009,6.447973419967303
41550,861,0.21150000000000013,17.92374135232337
42050,871,0.20200000000000007,1.9726693719728157
42550,881,0.19250000000000012,8.953573703523054
43050,891,0.18300000000000005,8.440708532659594
43550,901,0.1735000000000001,13.251846392277201
44050,911,0.16400000000000015,5.053897070233527
44550,921,0.15450000000000008,12.209833745566463
45050,931,0.14500000000000013,8.928833198911615
45550,941,0.13550000000000006,15.494825186358879
46050,951,0.1260000000000001,7.517891398481404
46550,961,0.11650000000000016,6.994410207901768
47050,971,0.1070000000000001,1.7124887111312581
47550,981,0.09750000000000014,5.195767925745122
48050,991,0.08800000000000008,5.123237742528582
48550,1001,0.07850000000000013,16.150594656907955
49050,1011,0.06900000000000006,-1.8819606535761109
49550,1021,0.05950000000000011,14.316783847000911
50050,1031,0.050000000000000155,20.864318659009438
