t_env,episode,epsilon,episode_reward
27,1,1.0,22.97888169633101
554,35,0.990386,42.570661021701575
1062,66,0.979993,10.508475476259996
1588,96,0.97074,44.82010288262903
2119,118,0.961658,74.23455661591456
2623,146,0.95117,37.8195636199413
3151,175,0.941385,45.39608894975448
3656,200,0.930764,12.930738344747041
4161,228,0.9213210000000001,23.954821947407417
4685,255,0.911745,35.81213215915229
5188,292,0.901618,11.81873498400041
5697,327,0.89208,17.23025346816419
6208,359,0.882333,16.386105417850057
6717,391,0.872719,17.751708579058874
7223,413,0.863181,24.53277694070603
7731,444,0.853282,9.657461645765704
8234,474,0.8437250000000001,11.030507496170072
8734,490,0.834339,18.40463134851245
9290,515,0.824782,61.33761507474307
9817,538,0.814028,32.0256804549851
10318,560,0.804243,14.627007632194184
10825,584,0.7945150000000001,11.003534705911202
11362,612,0.785775,73.85850365536297
11892,638,0.774641,25.910282184496186
12408,665,0.765046,29.80511042873137
12921,692,0.7548050000000001,17.247413230768704
13444,710,0.745229,27.563847492254787
13946,728,0.7352350000000001,12.507009411115328
14449,748,0.725735,18.302626718230922
15009,773,0.716064,54.89824363532153
15538,798,0.705728,38.33788244302811
16090,823,0.696399,135.85293288840006
16602,847,0.684866,21.654649614826532
17116,867,0.6759550000000001,55.590123791512006
17627,891,0.6653340000000001,13.48127455317881
18178,911,0.656309,76.44190291597087
18678,930,0.6458780000000001,33.47926056756046
19193,952,0.6357700000000001,25.77159716956526
19732,977,0.62608,39.34907522249945
20286,1011,0.615858,84.18446734227794
20797,1034,0.605218,21.515919684702713
21313,1052,0.5954140000000001,17.849716938427033
21899,1068,0.5857620000000001,90.00182823156872
22405,1088,0.574571,15.763418994919729
22950,1104,0.5651470000000001,51.810847043952805
23494,1125,0.554697,52.42087237701885
24027,1139,0.544209,38.528651613148014
24568,1157,0.5341770000000001,45.32355356790969
25072,1180,0.5239170000000001,17.725508383122232
25572,1197,0.5162410000000001,107.97414085830844
26100,1216,0.506,79.52545516112293
26603,1232,0.49556900000000004,43.77189900607447
