t_env,episode,epsilon,episode_reward
32,1,1.0,161
552,21,0.990671,197
1147,31,0.980278,245
1698,41,0.968745,221
2232,51,0.95839,165
2780,62,0.948434,239
3312,71,0.938459,261
3820,80,0.928712,245
4341,91,0.9183,156
4860,103,0.908553,198
5368,114,0.8986350000000001,168
5878,123,0.888926,140
6378,133,0.8798630000000001,192
6885,143,0.869983,143
7409,154,0.859989,151
7926,167,0.850394,185
8456,180,0.839982,159
8986,191,0.830026,169
9513,203,0.820336,178
10023,214,0.810019,129
10528,225,0.8008230000000001,173
11041,238,0.7911520000000001,184
11559,251,0.7814810000000001,158
12090,265,0.771962,256
12593,279,0.761474,174
13123,292,0.751271,143
13649,305,0.7416,149
14150,317,0.731758,142
14681,333,0.7217450000000001,146
15184,345,0.712283,154
15709,359,0.70208,123
16221,371,0.69296,157
16748,385,0.68289,201
17337,399,0.6726110000000001,244
17845,411,0.66161,160
18347,424,0.652091,150
18911,435,0.641945,201
19486,443,0.6314000000000001,263
20014,451,0.620646,190
20529,469,0.6108040000000001,141
21077,479,0.600601,248
21639,486,0.5911200000000001,353
22191,492,0.579701,232
22725,496,0.5708090000000001,471
23247,501,0.5611950000000001,494
23924,505,0.5492440000000001,606
24567,511,0.536875,541
25114,515,0.5243920000000001,348
25694,520,0.5138280000000001,318
26316,524,0.503017,410
26918,528,0.49292800000000003,654
27514,532,0.47989400000000004,594
28220,535,0.4718190000000001,788
28860,539,0.45528900000000005,625
29430,542,0.4441170000000001,539
30244,545,0.4315960000000001,1230
30893,548,0.41632,682
31750,550,0.4062500000000001,1207
32335,552,0.3923230000000001,910
33201,555,0.3778070000000001,1129
33918,557,0.3615050000000001,892
34737,560,0.3467420000000001,892
35316,562,0.33260600000000007,754
36268,565,0.3195340000000001,1153
36768,566,0.3109080000000001,1161
37424,568,0.2964300000000001,971
38142,570,0.2836430000000001,872
38873,572,0.27091300000000007,1244
39507,574,0.25436400000000015,736
40325,576,0.24332500000000012,1103
41025,588,0.23002500000000015,1368
41525,589,0.22052500000000008,1122
42025,590,0.21102500000000013,1495
42570,593,0.19523600000000008,701
43198,595,0.18638200000000005,1101
44027,597,0.1729870000000001,1045
44527,598,0.16348700000000005,1130
45027,599,0.1539870000000001,1262
45874,601,0.13789400000000007,1570
46374,602,0.12839400000000012,1138
47265,604,0.11146500000000015,1240
48006,606,0.09698700000000016,1003
48506,607,0.08788600000000013,1890
49006,608,0.07838600000000007,1765
49506,609,0.06888600000000011,1780
50006,610,0.05938600000000016,1073
50506,611,0.05,1717
51006,612,0.05,1577
51506,613,0.05,1320
52430,615,0.05,1589
52930,616,0.05,1046
53747,618,0.05,1535
54563,620,0.05,1228
