t_env,episode,epsilon,episode_reward
43,1,1.0,253
578,21,0.990557,403
1101,29,0.980164,322
1615,38,0.970398,324
2145,45,0.961981,392
2705,54,0.949954,359
3241,64,0.9392,262
3743,74,0.9297570000000001,257
4247,83,0.920428,303
4789,92,0.909826,314
5294,101,0.900288,307
5799,111,0.890522,261
6334,120,0.880718,299
6896,130,0.8701920000000001,305
7444,140,0.85997,323
7945,148,0.8504320000000001,351
8476,157,0.839944,367
9053,166,0.82995,345
9579,175,0.819272,321
10096,186,0.8090310000000001,244
10655,195,0.798809,316
11223,205,0.7882640000000001,396
11777,214,0.777396,296
12326,223,0.7668510000000001,311
12841,232,0.7568950000000001,257
13343,243,0.7472240000000001,277
13861,254,0.737515,258
14376,262,0.728262,326
14926,271,0.7173750000000001,307
15465,280,0.707533,301
15981,289,0.697349,298
16562,297,0.686956,343
17119,307,0.6759360000000001,351
17634,315,0.666037,325
18177,324,0.655568,305
18702,332,0.6459920000000001,332
19259,340,0.6354090000000001,351
19774,348,0.6253010000000001,317
20284,367,0.615801,323
20873,376,0.6053890000000001,350
21417,384,0.594236,342
21976,392,0.5842990000000001,457
22491,396,0.576395,498
23059,403,0.563323,354
23636,411,0.5525310000000001,409
24185,419,0.541701,359
24740,426,0.5318210000000001,405
25261,431,0.522321,435
25854,438,0.5106360000000001,454
26422,444,0.4999770000000001,422
27026,450,0.488615,477
27553,455,0.47814600000000007,493
28132,460,0.4686650000000001,674
28665,465,0.456828,441
29178,471,0.4469670000000001,448
29706,476,0.43769500000000006,461
30270,482,0.42658000000000007,448
30811,488,0.41746000000000005,567
31357,494,0.4067060000000001,496
31944,499,0.3952490000000001,611
32571,504,0.3836590000000001,622
33169,509,0.3727530000000001,853
33764,514,0.3612200000000001,538
34300,518,0.3508270000000001,739
34940,522,0.34134600000000004,853
35538,526,0.32707700000000006,464
36054,530,0.3183180000000001,692
36643,534,0.3062910000000001,745
37192,538,0.2956510000000001,618
37793,542,0.2859800000000001,713
38300,546,0.2747320000000001,762
38879,549,0.26595400000000013,749
39512,553,0.2525020000000001,812
40080,555,0.24611800000000006,1241
40763,568,0.22955000000000014,983
41473,572,0.21602200000000005,1111
41997,575,0.20420400000000005,747
42630,578,0.19381100000000007,1164
43381,580,0.18471000000000015,1358
44081,583,0.1672300000000001,1098
44628,586,0.15488000000000013,1012
45136,589,0.14494300000000016,846
45902,593,0.13310600000000006,981
46484,596,0.12039500000000014,1025
47005,599,0.1096410000000001,923
47630,603,0.09829800000000011,1082
48271,606,0.08621400000000012,1216
48993,610,0.07337000000000016,1265
49554,613,0.06195100000000009,1193
50108,616,0.051881000000000066,1371
50659,619,0.05,1327
51311,622,0.05,1583
52015,625,0.05,1458
52731,628,0.05,1664
53390,630,0.05,1458
54162,632,0.05,1936
54854,635,0.05,1451
55457,638,0.05,1435
56073,641,0.05,1250
56573,644,0.05,1330
57082,647,0.05,1233
57647,650,0.05,1388
58294,653,0.05,1295
58907,656,0.05,1484
59408,658,0.05,1746
59987,661,0.05,1396
60651,674,0.05,1444
61171,676,0.05,1679
61731,678,0.05,1613
62535,680,0.05,2103
63128,682,0.05,1699
64050,684,0.05,2234
64550,685,0.05,2373
65448,687,0.05,1745
66115,689,0.05,1733
66795,691,0.05,1827
67350,693,0.05,1628
68184,695,0.05,1538
68770,697,0.05,1707
69393,700,0.05,1440
70023,703,0.05,1422
70655,706,0.05,1554
71287,709,0.05,1482
72016,712,0.05,1605
72692,714,0.05,2310
73293,716,0.05,1798
73894,718,0.05,1999
74676,720,0.05,2393
75625,722,0.05,2017
76460,724,0.05,2861
77433,726,0.05,2694
78342,728,0.05,2261
78842,729,0.05,2746
79537,731,0.05,1843
80261,733,0.05,2262
81031,745,0.05,2084
81804,747,0.05,2661
82532,749,0.05,1983
83032,750,0.05,2661
83724,752,0.05,2483
84224,753,0.05,2484
85081,755,0.05,2202
85581,756,0.05,2141
86460,758,0.05,3293
87184,760,0.05,2397
87957,762,0.05,1967
88740,764,0.05,1811
89644,766,0.05,2121
90439,768,0.05,2267
91312,770,0.05,2305
91812,771,0.05,2086
92508,773,0.05,1846
93392,775,0.05,2452
94205,777,0.05,2487
94944,779,0.05,2214
95839,781,0.05,2722
96588,783,0.05,1789
97388,785,0.05,2376
98195,787,0.05,2312
99026,789,0.05,2597
99834,791,0.05,2277
100657,793,0.05,2518
101157,804,0.05,3130
102119,806,0.05,2529
102898,808,0.05,2309
103649,810,0.05,2301
104384,812,0.05,2392
105123,814,0.05,2713
105984,816,0.05,3040
106904,818,0.05,2835
107404,819,0.05,2471
107904,820,0.05,3187
108853,822,0.05,3118
109728,824,0.05,3129
110524,826,0.05,2802
111498,828,0.05,3438
111998,829,0.05,2217
112498,830,0.05,2898
113311,832,0.05,3721
114142,834,0.05,2919
115095,836,0.05,3158
115958,838,0.05,3488
116754,840,0.05,2665
117254,841,0.05,2488
118228,843,0.05,2506
118728,844,0.05,4088
119699,846,0.05,3229
120199,847,0.05,2408
121194,860,0.05,2387
121762,862,0.05,1986
122484,864,0.05,2483
123251,866,0.05,2830
124022,868,0.05,1668
124561,870,0.05,1467
125152,872,0.05,1648
126033,874,0.05,2342
126849,876,0.05,2367
127492,878,0.05,2889
128295,880,0.05,3349
128795,881,0.05,2370
129295,882,0.05,3756
130191,884,0.05,3657
131095,886,0.05,4391
131939,888,0.05,3911
132816,890,0.05,4049
133736,892,0.05,3810
134661,894,0.05,3955
135565,896,0.05,4144
136391,898,0.05,3323
136891,899,0.05,2879
137391,900,0.05,3048
138381,902,0.05,4119
139077,904,0.05,3011
139784,906,0.05,2961
140658,908,0.05,2817
141601,920,0.05,3448
142489,922,0.05,2715
143327,924,0.05,2873
144065,926,0.05,2843
144945,928,0.05,2821
145657,930,0.05,3970
146473,932,0.05,3127
147288,934,0.05,2764
148145,936,0.05,2979
149052,938,0.05,3714
149980,940,0.05,4275
150851,942,0.05,3668
151351,943,0.05,2506
151851,944,0.05,3359
152821,946,0.05,3917
153734,948,0.05,4310
154234,949,0.05,2446
154734,950,0.05,3672
155641,952,0.05,3649
156141,953,0.05,3011
156641,954,0.05,3596
157604,956,0.05,4077
158104,957,0.05,2141
158604,958,0.05,3358
159493,960,0.05,3888
160208,962,0.05,3029
160708,963,0.05,3240
161208,964,0.05,3313
161708,975,0.05,3233
162208,976,0.05,3919
162708,977,0.05,2380
163208,978,0.05,3956
163708,979,0.05,2627
164208,980,0.05,2667
164708,981,0.05,2339
165208,982,0.05,3504
165708,983,0.05,2429
166208,984,0.05,3694
166708,985,0.05,2645
167208,986,0.05,3166
167708,987,0.05,2280
168208,988,0.05,3625
169050,990,0.05,2892
169550,991,0.05,2160
170050,992,0.05,2869
170747,994,0.05,2325
171580,996,0.05,4042
172080,997,0.05,2248
172580,998,0.05,3868
173080,999,0.05,3412
173580,1000,0.05,3473
174573,1002,0.05,3719
175073,1003,0.05,2798
175573,1004,0.05,3265
176073,1005,0.05,3397
176573,1006,0.05,3730
177073,1007,0.05,2224
177573,1008,0.05,4443
178073,1009,0.05,3114
178573,1010,0.05,3849
179073,1011,0.05,2965
179573,1012,0.05,3631
180073,1013,0.05,3433
180573,1014,0.05,3500
181073,1015,0.05,2861
181573,1016,0.05,3043
182073,1027,0.05,2948
182573,1028,0.05,4212
183538,1030,0.05,3907
184038,1031,0.05,2928
184852,1033,0.05,2288
185352,1034,0.05,3492
185852,1035,0.05,2576
186352,1036,0.05,3942
186852,1037,0.05,2636
187352,1038,0.05,3289
187852,1039,0.05,2765
188352,1040,0.05,3887
188852,1041,0.05,3042
189352,1042,0.05,3258
189852,1043,0.05,2700
190352,1044,0.05,3864
190852,1045,0.05,2062
191352,1046,0.05,3097
191852,1047,0.05,2996
192352,1048,0.05,4003
192852,1049,0.05,3321
193352,1050,0.05,3882
193852,1051,0.05,2713
194352,1052,0.05,4089
194852,1053,0.05,2711
195352,1054,0.05,3293
195852,1055,0.05,3228
196352,1056,0.05,3994
196852,1057,0.05,3111
197352,1058,0.05,3572
197852,1059,0.05,3496
198352,1060,0.05,3679
198852,1061,0.05,3145
199352,1062,0.05,3541
199852,1063,0.05,3793
200352,1064,0.05,4142
200852,1065,0.05,3174
201352,1066,0.05,3538
201852,1067,0.05,2545
202352,1078,0.05,3590
202852,1079,0.05,3753
203352,1080,0.05,3917
203852,1081,0.05,3526
204352,1082,0.05,4048
204852,1083,0.05,3688
205352,1084,0.05,4369
205852,1085,0.05,2958
206352,1086,0.05,3525
206852,1087,0.05,3180
207352,1088,0.05,3884
207852,1089,0.05,3514
208793,1091,0.05,2912
209293,1092,0.05,3723
209793,1093,0.05,3614
210293,1094,0.05,3643
210793,1095,0.05,3118
211293,1096,0.05,3899
211793,1097,0.05,3603
212293,1098,0.05,3553
213207,1100,0.05,3791
213707,1101,0.05,3421
214207,1102,0.05,2709
214707,1103,0.05,3233
215207,1104,0.05,3628
215707,1105,0.05,3184
216207,1106,0.05,3746
216707,1107,0.05,3173
217207,1108,0.05,3781
217707,1109,0.05,3235
218207,1110,0.05,3663
218707,1111,0.05,2990
219207,1112,0.05,3378
219707,1113,0.05,2448
220207,1114,0.05,2909
221148,1116,0.05,4591
221648,1117,0.05,3382
222148,1118,0.05,4514
222648,1129,0.05,3857
223148,1130,0.05,3754
223648,1131,0.05,3877
224148,1132,0.05,3151
224648,1133,0.05,3645
225148,1134,0.05,3953
225648,1135,0.05,3260
226148,1136,0.05,3556
226648,1137,0.05,3075
227148,1138,0.05,3378
227648,1139,0.05,3287
228148,1140,0.05,4241
228648,1141,0.05,3391
229148,1142,0.05,4208
229648,1143,0.05,3553
230148,1144,0.05,4406
230648,1145,0.05,3060
231148,1146,0.05,4389
231648,1147,0.05,3597
232148,1148,0.05,4571
232648,1149,0.05,3558
233148,1150,0.05,4043
233648,1151,0.05,4190
234148,1152,0.05,4147
234648,1153,0.05,3454
235148,1154,0.05,4087
235648,1155,0.05,3334
236148,1156,0.05,4205
236648,1157,0.05,3517
237148,1158,0.05,4757
237648,1159,0.05,3390
238148,1160,0.05,4330
238648,1161,0.05,4032
239148,1162,0.05,3626
239648,1163,0.05,4139
240148,1164,0.05,3901
240648,1165,0.05,3905
241148,1166,0.05,3898
241648,1167,0.05,3273
242148,1168,0.05,3557
242648,1179,0.05,3238
243148,1180,0.05,3826
243648,1181,0.05,3810
244148,1182,0.05,3888
244648,1183,0.05,3750
245148,1184,0.05,4177
245648,1185,0.05,3494
246148,1186,0.05,4459
246648,1187,0.05,3313
247148,1188,0.05,4111
248143,1190,0.05,3250
248643,1191,0.05,3157
249143,1192,0.05,4109
249643,1193,0.05,3645
250143,1194,0.05,3902
250643,1195,0.05,3293
251143,1196,0.05,3830
251643,1197,0.05,4326
252143,1198,0.05,3632
252643,1199,0.05,3826
253143,1200,0.05,3772
253643,1201,0.05,3359
254143,1202,0.05,3615
254643,1203,0.05,4393
255143,1204,0.05,3847
255643,1205,0.05,3731
256143,1206,0.05,4444
256643,1207,0.05,3699
257143,1208,0.05,4353
257643,1209,0.05,3074
258143,1210,0.05,3666
258643,1211,0.05,3938
259143,1212,0.05,4290
259643,1213,0.05,3757
260143,1214,0.05,4313
260643,1215,0.05,3281
261143,1216,0.05,3104
261643,1217,0.05,3863
262143,1218,0.05,3516
262643,1219,0.05,3859
263143,1230,0.05,3775
263643,1231,0.05,3393
264143,1232,0.05,3442
264643,1233,0.05,3740
265143,1234,0.05,4233
265643,1235,0.05,3847
266143,1236,0.05,3184
266643,1237,0.05,3960
267143,1238,0.05,4505
267643,1239,0.05,3370
268143,1240,0.05,3772
269045,1242,0.05,3858
269545,1243,0.05,3395
270045,1244,0.05,3204
270545,1245,0.05,3236
271045,1246,0.05,2982
271545,1247,0.05,3784
272045,1248,0.05,4024
