t_env,episode,epsilon,episode_reward
43,1,1.0,234
570,21,0.989987,274
1115,30,0.980335,417
1653,39,0.969619,335
2160,49,0.959777,268
2714,58,0.949726,289
3247,67,0.939694,364
3784,77,0.928826,259
4294,87,0.919782,378
4809,96,0.909617,264
5365,105,0.899471,342
5887,114,0.889154,300
6391,122,0.879597,324
6908,133,0.8697360000000001,282
7460,144,0.859514,378
8000,155,0.849311,336
8587,166,0.838614,312
9134,177,0.827518,295
9666,187,0.8171820000000001,251
10198,197,0.806998,220
10712,207,0.797289,268
11232,217,0.7872760000000001,237
11763,227,0.7776620000000001,273
12381,240,0.7670600000000001,392
12884,250,0.756363,261
13392,262,0.746597,276
13906,273,0.736869,273
14441,285,0.726381,243
14948,296,0.716824,247
15469,307,0.7077420000000001,349
15976,320,0.697045,205
16497,331,0.687735,332
16998,343,0.677741,241
17515,355,0.668127,255
18043,367,0.657981,204
18592,379,0.6479110000000001,239
19135,390,0.6374230000000001,244
19661,402,0.627049,197
20190,425,0.617283,261
20698,437,0.6075550000000001,251
21228,449,0.5972950000000001,212
21741,458,0.587947,233
22311,468,0.5776110000000001,283
22854,474,0.5689660000000001,411
23432,481,0.556673,393
23951,488,0.546869,371
24462,495,0.535925,231
24995,502,0.526159,327
25541,509,0.516146,361
26073,515,0.5061140000000001,314
26749,521,0.495132,419
27263,527,0.48443500000000006,453
27873,534,0.4725790000000001,472
28399,540,0.46201500000000006,436
28908,545,0.4524960000000001,375
29496,550,0.4414380000000001,426
29999,555,0.431026,388
30523,560,0.4214500000000001,451
31108,566,0.41092400000000007,508
31697,571,0.4016900000000001,628
32289,577,0.3884660000000001,506
32792,582,0.3793080000000001,500
33368,587,0.36788900000000013,541
33884,591,0.3604600000000001,568
34454,597,0.34738800000000003,552
35088,601,0.3366720000000001,552
35623,606,0.32493000000000005,535
36201,610,0.31535400000000013,783
36762,616,0.3036500000000001,554
37271,620,0.2949290000000001,541
37872,624,0.28565700000000005,804
38374,628,0.2727940000000001,520
38886,633,0.2635980000000001,599
39442,637,0.25413600000000014,664
40004,641,0.2428880000000001,923
40525,655,0.23221000000000014,599
41033,658,0.2226720000000001,619
41575,662,0.2120700000000001,492
42323,666,0.20061300000000015,885
42865,669,0.1896120000000001,1003
43402,672,0.17804100000000012,758
43942,676,0.16857900000000015,793
44508,679,0.15755900000000012,679
45078,683,0.14617800000000014,659
45721,687,0.13572800000000007,1064
46443,690,0.12499300000000013,907
47020,694,0.11028700000000013,1001
47535,698,0.0987920000000001,571
48278,701,0.08967200000000008,974
48931,704,0.07331300000000007,646
49500,708,0.06178000000000017,582
50057,712,0.05119700000000016,582
50709,715,0.05,1160
51446,717,0.05,1736
52057,720,0.05,823
52684,725,0.05,761
53234,729,0.05,695
53939,733,0.05,815
54439,735,0.05,1156
54944,737,0.05,1046
55500,741,0.05,1098
56044,744,0.05,1045
56604,748,0.05,1131
57129,752,0.05,967
57778,755,0.05,926
58287,758,0.05,1066
58804,761,0.05,676
59312,764,0.05,859
59856,767,0.05,927
60361,780,0.05,763
60884,783,0.05,865
61388,786,0.05,949
62072,790,0.05,994
62731,794,0.05,767
63399,798,0.05,952
64056,802,0.05,779
64619,805,0.05,1077
65234,809,0.05,695
66012,813,0.05,1116
66565,816,0.05,992
67236,820,0.05,1060
67814,824,0.05,592
68409,829,0.05,893
68988,833,0.05,1120
69546,836,0.05,591
70242,840,0.05,914
70804,843,0.05,616
71360,847,0.05,885
72050,850,0.05,1331
72636,853,0.05,1046
73274,857,0.05,860
73783,860,0.05,979
74297,863,0.05,882
74916,866,0.05,1061
75545,870,0.05,708
76187,874,0.05,781
76766,878,0.05,770
77337,881,0.05,950
78010,885,0.05,1090
78568,888,0.05,979
79103,890,0.05,1102
79614,893,0.05,1073
80116,896,0.05,801
80719,910,0.05,548
81342,913,0.05,1039
82000,916,0.05,714
82794,920,0.05,828
83353,923,0.05,1111
84017,927,0.05,1125
84551,931,0.05,712
85124,934,0.05,919
85865,937,0.05,1224
86517,941,0.05,758
87059,945,0.05,812
87695,949,0.05,868
88484,953,0.05,1042
89152,957,0.05,684
89663,960,0.05,682
90236,964,0.05,638
90870,968,0.05,935
91501,972,0.05,753
92122,976,0.05,700
92754,979,0.05,875
93390,983,0.05,1129
93946,986,0.05,869
94523,989,0.05,1009
95110,993,0.05,764
95829,997,0.05,1167
96410,1000,0.05,764
96954,1003,0.05,673
97513,1006,0.05,926
98029,1010,0.05,543
98628,1015,0.05,659
99183,1018,0.05,650
99697,1021,0.05,884
100305,1025,0.05,868
100878,1039,0.05,842
101565,1043,0.05,1101
102160,1046,0.05,632
102750,1050,0.05,710
103380,1054,0.05,959
104131,1057,0.05,1195
104777,1061,0.05,843
105417,1064,0.05,1119
105917,1067,0.05,856
106540,1071,0.05,1218
107073,1074,0.05,840
107713,1078,0.05,898
108299,1081,0.05,908
108851,1083,0.05,960
109354,1085,0.05,1300
109890,1088,0.05,788
110529,1092,0.05,922
111188,1095,0.05,1182
111734,1098,0.05,619
112311,1101,0.05,949
113001,1104,0.05,1016
113631,1107,0.05,1214
114326,1110,0.05,1189
114910,1112,0.05,1291
115490,1116,0.05,723
116205,1120,0.05,977
116778,1123,0.05,1085
117561,1126,0.05,1156
118088,1129,0.05,1191
118588,1130,0.05,1466
119245,1133,0.05,1015
119959,1136,0.05,1100
120610,1149,0.05,1455
121232,1153,0.05,948
121901,1156,0.05,1149
122536,1159,0.05,1073
123227,1163,0.05,1151
123963,1166,0.05,1052
124707,1169,0.05,1119
125321,1173,0.05,855
125869,1176,0.05,1047
126516,1179,0.05,997
127094,1182,0.05,896
127799,1185,0.05,1199
128494,1188,0.05,1236
129167,1191,0.05,1173
129775,1194,0.05,889
130359,1197,0.05,1412
130867,1199,0.05,1302
131485,1202,0.05,802
132264,1205,0.05,1775
132941,1208,0.05,1388
133526,1211,0.05,1337
134107,1214,0.05,1034
134707,1217,0.05,1142
135231,1219,0.05,1803
136031,1221,0.05,1714
136763,1224,0.05,1410
137375,1228,0.05,860
137942,1231,0.05,1102
138599,1234,0.05,1146
139247,1237,0.05,1364
139867,1240,0.05,1311
140419,1242,0.05,1354
141063,1254,0.05,1598
141635,1256,0.05,1522
142187,1258,0.05,1206
142846,1261,0.05,1069
143381,1263,0.05,1227
144004,1265,0.05,1551
144512,1267,0.05,1337
145065,1269,0.05,1217
145580,1271,0.05,1532
146284,1274,0.05,1394
146828,1276,0.05,1280
147409,1278,0.05,1541
147927,1280,0.05,1290
148631,1283,0.05,1343
149193,1285,0.05,1255
149839,1287,0.05,1442
150408,1289,0.05,1670
151016,1291,0.05,1468
151715,1294,0.05,1379
152372,1297,0.05,1444
152948,1299,0.05,1663
153460,1301,0.05,1090
153977,1303,0.05,1317
154653,1306,0.05,1525
155198,1308,0.05,1266
155906,1311,0.05,1751
156480,1313,0.05,1577
157040,1315,0.05,1572
157637,1318,0.05,1128
158233,1320,0.05,1594
158809,1322,0.05,1712
159456,1324,0.05,1569
160040,1326,0.05,1521
160564,1328,0.05,1366
161194,1341,0.05,1561
161723,1343,0.05,1464
162242,1345,0.05,1393
162909,1347,0.05,1750
163541,1349,0.05,1643
164132,1351,0.05,1549
164895,1353,0.05,1733
165612,1355,0.05,2073
166173,1357,0.05,1851
166863,1359,0.05,1726
