t_env,episode,epsilon,episode_reward
47,1,1.0,310
557,20,0.990386,298
1077,29,0.980772,331
1580,38,0.970873,266
2096,48,0.961031,277
2616,58,0.951151,306
3152,68,0.940948,250
3713,77,0.930745,321
4254,87,0.920504,323
4821,97,0.9097310000000001,380
5369,107,0.898996,318
5882,115,0.88923,348
6384,124,0.879578,289
6903,133,0.869812,269
7426,141,0.859799,287
8010,152,0.8494630000000001,319
8566,164,0.8385,313
9073,174,0.828468,285
9581,184,0.819006,314
10111,195,0.808879,344
10642,204,0.7986,263
11175,213,0.7890050000000001,333
11699,222,0.778783,269
12230,233,0.76839,290
12794,243,0.7583960000000001,317
13304,252,0.748117,331
13839,261,0.738408,339
14346,270,0.7280150000000001,229
14861,281,0.718192,228
15407,290,0.7082170000000001,277
15907,299,0.698869,219
16411,310,0.6889890000000001,266
16948,320,0.679014,281
17475,331,0.6692100000000001,273
17978,341,0.6595390000000001,253
18509,351,0.650267,325
19056,362,0.639057,281
19613,370,0.6297280000000001,420
20158,390,0.617948,270
20663,399,0.609132,286
21187,408,0.598454,242
21739,420,0.588004,263
22247,430,0.5781240000000001,220
22764,441,0.5683010000000001,252
23312,450,0.5586490000000001,268
23817,458,0.5486550000000001,313
24369,467,0.5380340000000001,247
24891,476,0.5280210000000001,294
25414,485,0.518084,275
25966,494,0.508071,251
26486,503,0.498742,309
27027,512,0.48779800000000006,371
27611,522,0.4773480000000001,330
28130,529,0.4672780000000001,291
28674,538,0.4563910000000001,289
29204,548,0.44588400000000006,239
29751,555,0.435852,310
30290,564,0.42616200000000004,422
30811,573,0.41597800000000007,323
31344,580,0.4055660000000001,333
31865,587,0.39580000000000004,398
32390,595,0.3860720000000001,351
32950,602,0.3756410000000001,364
33497,610,0.3646020000000001,299
34067,616,0.3547030000000001,436
34616,623,0.3448420000000001,416
35167,630,0.3340120000000001,528
35668,636,0.32417000000000007,517
36200,642,0.31362500000000004,457
36708,647,0.30539800000000006,427
37249,653,0.29359900000000005,442
37769,659,0.28446000000000005,459
38290,665,0.27456100000000006,469
38840,672,0.2631610000000001,364
39344,677,0.2541930000000001,527
39974,683,0.24366700000000008,640
40479,698,0.23295100000000013,571
41086,704,0.2217030000000001,593
41599,709,0.2125260000000001,629
42187,714,0.20021400000000011,555
42796,720,0.18906100000000015,613
43344,725,0.17963700000000005,634
43876,730,0.16789500000000013,557
44456,735,0.15742600000000007,606
45007,738,0.14739400000000014,685
45575,742,0.13766600000000007,715
46101,747,0.12586700000000006,647
46678,751,0.1163860000000001,781
47240,756,0.1055370000000001,606
47849,761,0.09328200000000009,588
48360,765,0.08414300000000008,605
48905,770,0.07226800000000011,610
49502,775,0.06151400000000007,596
50103,781,0.05019000000000007,553
50704,786,0.05,766
51294,790,0.05,700
51795,795,0.05,551
52303,800,0.05,545
52857,805,0.05,653
53461,811,0.05,767
54085,816,0.05,650
54690,821,0.05,675
55197,825,0.05,672
55741,831,0.05,591
56302,835,0.05,761
56872,839,0.05,632
57506,843,0.05,817
58194,847,0.05,846
58754,850,0.05,809
59353,855,0.05,754
59853,859,0.05,764
60438,874,0.05,803
60994,878,0.05,805
61508,882,0.05,787
62065,885,0.05,1077
62582,888,0.05,859
63211,892,0.05,879
63758,895,0.05,828
64373,899,0.05,829
64897,902,0.05,844
65531,905,0.05,790
66133,909,0.05,753
66723,913,0.05,1086
67301,917,0.05,891
68012,920,0.05,1024
68642,924,0.05,800
69280,928,0.05,881
70006,932,0.05,1007
