t_env,episode,epsilon,episode_reward
56,1,1.0,301
581,20,0.989702,289
1152,29,0.979556,425
1720,37,0.968859,381
2221,46,0.959017,350
2761,55,0.948586,344
3269,64,0.93882,293
3783,73,0.929282,358
4307,82,0.919326,338
4852,91,0.908705,332
5368,100,0.898825,262
5901,109,0.889135,284
6427,117,0.878476,246
6954,126,0.868672,288
7462,134,0.858944,273
8006,144,0.84914,314
8518,154,0.839032,274
9071,164,0.828829,286
9616,174,0.818246,293
10134,184,0.808176,278
10641,193,0.7989040000000001,294
11164,204,0.7887580000000001,300
11689,213,0.7788970000000001,354
12190,221,0.769644,379
12730,230,0.759422,338
13297,239,0.74882,375
13807,247,0.739434,357
14333,257,0.72925,328
14875,266,0.718287,307
15390,275,0.708882,416
15955,283,0.698375,450
16469,290,0.6885140000000001,392
16990,298,0.6783110000000001,381
17546,307,0.668127,406
18072,314,0.65838,358
18624,323,0.647227,348
19180,330,0.6368340000000001,402
19688,338,0.6272200000000001,422
20239,356,0.616523,328
20788,363,0.606662,402
21346,371,0.595699,383
21884,379,0.5851540000000001,303
22401,386,0.5756350000000001,375
22906,394,0.5660400000000001,394
23454,400,0.5562360000000001,444
23967,407,0.5460900000000001,428
24512,414,0.5354880000000001,379
25079,421,0.5260640000000001,530
25581,428,0.515101,370
26146,435,0.50505,361
26711,443,0.494182,342
27256,450,0.483808,422
27823,457,0.47292100000000004,394
28365,465,0.46211,370
28922,471,0.4518310000000001,396
29458,479,0.4414380000000001,325
30001,487,0.431501,387
30580,495,0.42084200000000005,458
31118,502,0.41006900000000013,465
31653,509,0.4000180000000001,524
32172,516,0.3899100000000001,473
32722,523,0.379935,436
33256,530,0.3696370000000001,382
33792,537,0.3595100000000001,465
34322,544,0.3492120000000001,359
34868,551,0.3388190000000001,435
35373,556,0.32973700000000006,616
35914,562,0.32016100000000003,574
36464,569,0.3087040000000001,434
37031,576,0.2983680000000001,553
37558,582,0.2879560000000001,461
38073,588,0.27798100000000003,491
38641,594,0.26777800000000007,578
39184,600,0.2570810000000001,544
39693,606,0.24758100000000005,611
40257,623,0.23635200000000012,474
40823,631,0.22569300000000014,534
41378,637,0.21511000000000013,533
41905,642,0.20654100000000009,636
42459,648,0.1956920000000001,709
42979,654,0.1850710000000001,596
43490,660,0.17581800000000014,618
44044,666,0.1646080000000001,550
44583,673,0.1542340000000001,545
45095,680,0.14463900000000007,549
45624,687,0.13449300000000008,594
46164,692,0.1250690000000001,715
46664,697,0.11488500000000013,634
47224,702,0.10523300000000013,757
47966,708,0.09404200000000007,938
48504,713,0.0797730000000001,619
49010,719,0.07017800000000007,605
49547,723,0.05993700000000013,603
50134,728,0.05,691
50677,734,0.05,945
51201,739,0.05,633
51782,742,0.05,1431
52476,744,0.05,1591
53013,747,0.05,993
53541,750,0.05,1407
54114,753,0.05,817
54668,755,0.05,799
55172,758,0.05,1214
55719,760,0.05,1055
56353,763,0.05,950
56901,766,0.05,988
57629,770,0.05,1042
58172,774,0.05,809
58851,778,0.05,1045
59374,781,0.05,789
60006,784,0.05,1040
60575,798,0.05,1200
61084,801,0.05,859
61656,804,0.05,1271
62236,807,0.05,1109
62931,810,0.05,1340
63726,813,0.05,1406
64310,815,0.05,1292
64925,818,0.05,1262
65565,821,0.05,952
66209,824,0.05,1144
66807,827,0.05,993
67357,830,0.05,1285
67989,833,0.05,1197
68498,835,0.05,1155
69086,838,0.05,1255
69631,841,0.05,1046
70324,844,0.05,1587
71026,847,0.05,1515
71545,849,0.05,1483
72269,852,0.05,1452
72916,855,0.05,1343
73550,858,0.05,1471
74111,861,0.05,1507
74789,864,0.05,1313
75522,867,0.05,1524
76040,869,0.05,1521
76777,872,0.05,1613
