t_env,episode,epsilon,episode_reward
96,1,1.0,380
596,20,0.990101,311
1149,29,0.979214,320
1706,38,0.968802,303
2260,47,0.958276,352
2801,57,0.9478260000000001,289
3350,66,0.937623,285
3854,76,0.927401,254
4389,85,0.917597,313
4983,95,0.9073180000000001,418
5533,103,0.895956,329
6080,111,0.885563,313
6620,121,0.875645,291
7143,130,0.8658410000000001,332
7660,139,0.85541,277
8184,148,0.8456250000000001,274
8757,159,0.835365,325
9306,168,0.824174,294
9856,179,0.8142750000000001,323
10412,189,0.8034830000000001,327
10927,197,0.7930520000000001,245
11459,206,0.783115,238
11992,217,0.773045,267
12496,229,0.763317,245
13033,240,0.75319,297
13542,251,0.743804,238
14077,262,0.733221,249
14583,272,0.723531,222
15119,283,0.713879,261
15647,292,0.703619,267
16158,304,0.693644,209
16699,317,0.683897,282
17211,330,0.6735610000000001,215
17711,341,0.6644410000000001,224
18226,353,0.654618,227
18755,365,0.644225,201
19275,379,0.6343070000000001,215
19805,392,0.6244270000000001,221
20335,416,0.614414,228
20843,429,0.605237,274
21348,442,0.5953950000000001,227
21865,455,0.585021,195
22378,470,0.575806,238
22885,482,0.5658500000000001,231
23415,493,0.55616,222
23935,504,0.546052,231
24442,516,0.536305,239
24968,525,0.526748,245
25504,535,0.516545,259
26007,546,0.5065510000000001,231
26523,558,0.49699400000000005,251
27045,571,0.48686700000000005,221
27545,580,0.47725300000000004,215
28052,588,0.46974800000000005,323
28552,597,0.458481,245
29128,607,0.44805000000000006,266
29644,615,0.43798000000000004,246
30167,624,0.42762500000000003,236
30685,635,0.41816300000000006,233
31197,643,0.40858700000000003,282
31723,653,0.39866900000000005,267
32249,660,0.38899800000000007,263
32846,670,0.3778260000000001,292
33399,679,0.3668060000000001,266
33934,687,0.3581040000000001,445
34444,695,0.3469700000000001,345
35006,702,0.33608300000000013,334
35603,709,0.32639300000000004,511
36105,715,0.31584800000000013,366
36609,722,0.3060630000000001,314
37115,729,0.29677200000000004,340
37643,736,0.2856000000000001,265
38248,744,0.27556800000000004,438
38794,750,0.26570700000000014,396
