t_env,episode,epsilon,episode_reward
57,1,1.0,303
559,19,0.990709,320
1102,29,0.979955,260
1654,39,0.969695,314
2209,49,0.959321,350
2721,57,0.949213,319
3275,66,0.939181,347
3839,75,0.928351,377
4370,85,0.918072,362
4913,95,0.907508,261
5448,104,0.897647,302
5972,113,0.88714,234
6498,123,0.877108,242
7029,132,0.867532,328
7591,143,0.85712,324
8131,153,0.846499,276
8680,164,0.836049,262
9218,174,0.826188,329
9737,182,0.81608,318
10261,192,0.806333,287
10812,204,0.795655,273
11334,215,0.785604,301
11836,226,0.775895,310
12343,237,0.76649,321
12851,245,0.756591,245
13363,254,0.746882,196
13863,263,0.737401,262
14391,274,0.727312,235
14914,285,0.71747,272
15432,294,0.707609,298
15981,305,0.697368,303
16531,317,0.68688,242
17032,329,0.677722,276
17554,341,0.667177,250
18055,351,0.65781,269
18567,363,0.648215,228
19093,375,0.63862,315
19617,386,0.627923,242
20141,406,0.617986,221
20641,418,0.6087710000000001,275
21192,429,0.5983400000000001,263
21697,438,0.589866,353
22214,449,0.578846,237
22726,460,0.569042,214
23272,471,0.558934,230
23776,482,0.54951,272
24287,493,0.5391360000000001,230
24813,504,0.5293890000000001,250
25315,515,0.5195660000000001,190
25878,526,0.5099710000000001,321
26393,535,0.49984400000000007,275
26905,547,0.48954600000000004,241
27407,555,0.4802550000000001,270
27948,566,0.470774,414
28513,577,0.459716,358
29032,586,0.44926600000000005,291
29589,597,0.4390060000000001,253
30089,606,0.42996200000000007,321
30632,615,0.4195310000000001,315
31149,624,0.4094230000000001,359
31686,632,0.39918200000000004,284
32204,641,0.38949200000000006,378
32717,651,0.3790610000000001,237
33237,660,0.36978900000000003,331
33772,670,0.35937700000000006,336
34326,678,0.34978200000000004,426
34934,687,0.3388000000000001,477
35470,696,0.3272480000000001,353
35982,703,0.31818500000000005,406
36486,712,0.30788700000000013,366
37058,719,0.2990330000000001,465
37609,726,0.2874620000000001,497
38131,733,0.27697400000000005,524
38663,740,0.2672460000000001,472
39213,745,0.2565870000000001,497
39794,753,0.24547200000000013,444
40300,771,0.2354020000000001,435
40808,778,0.22586400000000006,442
41371,785,0.21579400000000004,587
41911,792,0.2055530000000001,433
42450,799,0.1949700000000001,544
42955,805,0.18541300000000005,548
43487,811,0.17553300000000005,533
44074,817,0.16430400000000012,492
44639,823,0.15385400000000016,599
45309,830,0.14272000000000007,615
45861,835,0.13033200000000011,415
46395,842,0.11993900000000013,432
46897,848,0.11026800000000014,476
47417,854,0.10065400000000013,480
47932,860,0.09115400000000007,546
48452,866,0.0809510000000001,538
49054,871,0.07038700000000009,518
49690,877,0.05877800000000011,652
50206,882,0.05,564
50736,888,0.05,588
51320,894,0.05,483
51833,899,0.05,636
52375,905,0.05,542
52940,911,0.05,523
53529,917,0.05,643
54090,923,0.05,580
54609,929,0.05,512
55150,935,0.05,548
55741,941,0.05,559
56272,947,0.05,525
56815,953,0.05,534
57378,959,0.05,648
57926,965,0.05,719
58470,970,0.05,538
59109,976,0.05,730
59652,982,0.05,578
60177,988,0.05,522
60709,1004,0.05,578
61229,1009,0.05,594
61781,1014,0.05,629
62392,1019,0.05,724
62991,1025,0.05,669
63544,1031,0.05,726
64089,1036,0.05,684
64628,1041,0.05,614
65157,1046,0.05,637
65720,1052,0.05,641
66260,1057,0.05,560
66787,1062,0.05,732
67327,1067,0.05,619
67919,1072,0.05,738
68471,1078,0.05,584
69012,1082,0.05,636
69530,1087,0.05,633
70076,1092,0.05,633
70692,1098,0.05,660
71292,1103,0.05,676
71878,1109,0.05,689
72485,1115,0.05,827
73008,1120,0.05,639
73520,1124,0.05,690
74108,1130,0.05,862
74684,1136,0.05,632
75223,1141,0.05,821
75778,1147,0.05,689
76370,1153,0.05,747
76901,1158,0.05,767
77403,1163,0.05,727
77907,1168,0.05,689
78417,1173,0.05,762
78936,1178,0.05,684
79512,1184,0.05,645
80113,1190,0.05,721
80656,1206,0.05,727
81190,1212,0.05,711
81755,1218,0.05,737
82291,1224,0.05,717
82797,1229,0.05,730
83359,1235,0.05,684
83962,1241,0.05,652
84518,1247,0.05,767
85050,1252,0.05,859
85636,1258,0.05,797
86238,1263,0.05,723
86763,1269,0.05,763
87279,1275,0.05,721
87793,1281,0.05,661
88312,1287,0.05,714
88837,1293,0.05,745
89351,1299,0.05,676
89886,1304,0.05,909
90444,1309,0.05,693
91107,1314,0.05,972
91647,1319,0.05,762
92241,1323,0.05,883
92809,1328,0.05,788
93314,1332,0.05,717
93855,1337,0.05,808
94457,1342,0.05,910
94958,1346,0.05,798
95514,1351,0.05,805
96108,1356,0.05,856
96816,1360,0.05,1112
97332,1364,0.05,776
97946,1369,0.05,877
98602,1373,0.05,907
99104,1377,0.05,901
99727,1382,0.05,836
100304,1386,0.05,745
100888,1400,0.05,993
101419,1404,0.05,878
101970,1408,0.05,944
102524,1413,0.05,792
103143,1418,0.05,1034
103727,1423,0.05,1005
104260,1428,0.05,919
104788,1433,0.05,919
105340,1437,0.05,944
105988,1442,0.05,979
106526,1446,0.05,897
107093,1451,0.05,892
107609,1455,0.05,825
108112,1459,0.05,788
108658,1463,0.05,884
109206,1468,0.05,845
109742,1472,0.05,903
110242,1477,0.05,809
110847,1482,0.05,903
111393,1487,0.05,944
111993,1493,0.05,862
112495,1498,0.05,936
113022,1503,0.05,773
113530,1508,0.05,838
114254,1514,0.05,926
114806,1520,0.05,790
115380,1525,0.05,803
115909,1529,0.05,778
116455,1534,0.05,862
117042,1540,0.05,767
117546,1545,0.05,839
118091,1550,0.05,833
118638,1555,0.05,849
119138,1560,0.05,779
119669,1565,0.05,852
120294,1569,0.05,1024
120884,1584,0.05,1195
121610,1588,0.05,1085
122201,1593,0.05,883
122857,1597,0.05,1036
123442,1602,0.05,906
124064,1606,0.05,988
124598,1610,0.05,1027
125148,1614,0.05,1051
125679,1618,0.05,951
126202,1622,0.05,938
126738,1627,0.05,832
127249,1632,0.05,755
127810,1637,0.05,784
128501,1642,0.05,1058
129079,1647,0.05,853
129635,1652,0.05,845
130191,1657,0.05,913
130798,1662,0.05,857
131317,1667,0.05,856
131902,1672,0.05,924
132481,1678,0.05,718
133057,1684,0.05,734
133573,1689,0.05,745
134133,1695,0.05,723
134641,1700,0.05,772
135219,1706,0.05,732
135815,1712,0.05,754
136372,1717,0.05,814
136878,1722,0.05,748
137410,1727,0.05,820
137934,1732,0.05,790
138488,1738,0.05,736
139084,1744,0.05,786
139596,1749,0.05,719
140125,1754,0.05,760
140712,1770,0.05,734
141305,1776,0.05,749
141907,1782,0.05,793
142417,1787,0.05,813
142958,1792,0.05,751
143545,1796,0.05,1070
144107,1800,0.05,878
144722,1804,0.05,915
145276,1808,0.05,1035
145912,1813,0.05,951
146468,1817,0.05,1016
147024,1822,0.05,903
147555,1826,0.05,928
148217,1830,0.05,1024
148777,1835,0.05,790
149350,1840,0.05,848
149871,1844,0.05,1049
150389,1848,0.05,756
150932,1853,0.05,861
151494,1858,0.05,827
152095,1863,0.05,951
152649,1867,0.05,824
153245,1872,0.05,787
153824,1877,0.05,968
154426,1882,0.05,766
154946,1887,0.05,793
155481,1892,0.05,817
156013,1897,0.05,832
156551,1902,0.05,850
157151,1908,0.05,842
157704,1913,0.05,905
158291,1918,0.05,907
158875,1923,0.05,858
159487,1928,0.05,783
160056,1933,0.05,771
160600,1937,0.05,1050
161102,1952,0.05,759
161621,1957,0.05,757
162135,1962,0.05,704
162643,1967,0.05,787
163176,1972,0.05,803
163694,1977,0.05,777
164211,1982,0.05,781
164815,1988,0.05,818
165347,1993,0.05,842
166023,1997,0.05,1088
166627,2001,0.05,1180
167222,2005,0.05,1152
168051,2009,0.05,1366
168746,2013,0.05,1363
169280,2015,0.05,1399
169952,2019,0.05,1257
170489,2021,0.05,1204
171122,2025,0.05,1232
171658,2028,0.05,1341
172159,2031,0.05,1080
172727,2034,0.05,1099
173326,2037,0.05,1450
173912,2041,0.05,993
174540,2045,0.05,1023
175130,2049,0.05,1099
175659,2053,0.05,1035
176241,2057,0.05,1090
176816,2061,0.05,1079
177317,2064,0.05,1194
177850,2067,0.05,1232
178516,2071,0.05,1093
179201,2074,0.05,1167
179723,2077,0.05,1379
180335,2079,0.05,1480
180889,2093,0.05,1057
181501,2097,0.05,1177
182067,2101,0.05,1052
182645,2105,0.05,1261
183212,2109,0.05,1136
183748,2112,0.05,1154
184380,2115,0.05,1399
184999,2119,0.05,1069
185630,2123,0.05,1258
186311,2126,0.05,1505
186896,2130,0.05,1246
187619,2133,0.05,1495
188428,2136,0.05,1932
188972,2139,0.05,1210
189496,2142,0.05,1431
190092,2145,0.05,1432
190677,2149,0.05,1209
191183,2151,0.05,1403
191710,2154,0.05,1019
192275,2157,0.05,1291
192874,2161,0.05,1020
193456,2164,0.05,1317
194123,2167,0.05,1512
194628,2170,0.05,1155
195236,2174,0.05,1212
195736,2175,0.05,1669
196289,2179,0.05,1101
197015,2183,0.05,1335
197673,2187,0.05,1252
198240,2191,0.05,1162
198848,2194,0.05,1417
199356,2197,0.05,1147
200004,2200,0.05,1340
200606,2204,0.05,1252
201270,2218,0.05,1344
201936,2222,0.05,1400
202719,2225,0.05,1721
203306,2228,0.05,1367
203873,2231,0.05,1373
204398,2233,0.05,1742
205035,2237,0.05,1441
205880,2240,0.05,1509
206482,2242,0.05,1110
207147,2246,0.05,1427
207742,2250,0.05,1311
208317,2253,0.05,1432
208980,2257,0.05,1343
209536,2260,0.05,1338
210118,2262,0.05,1382
210925,2265,0.05,1638
211586,2269,0.05,1163
212167,2272,0.05,1349
212804,2276,0.05,1271
213433,2280,0.05,1267
213987,2283,0.05,1286
214612,2286,0.05,1377
215426,2289,0.05,1612
215979,2292,0.05,1339
216834,2295,0.05,1616
217404,2298,0.05,1301
217978,2301,0.05,1350
218485,2303,0.05,1518
219144,2307,0.05,1341
219685,2309,0.05,1434
220303,2313,0.05,1264
220837,2316,0.05,1341
221385,2329,0.05,1449
222040,2333,0.05,1331
222657,2336,0.05,1399
223235,2338,0.05,1282
223750,2340,0.05,1644
224262,2343,0.05,1267
224860,2347,0.05,1325
225527,2351,0.05,1273
226164,2353,0.05,1428
226819,2357,0.05,1231
227325,2360,0.05,1316
228029,2362,0.05,1565
228803,2365,0.05,1574
229468,2369,0.05,1451
230075,2373,0.05,1170
230585,2376,0.05,1264
231099,2379,0.05,1262
231672,2383,0.05,1323
232264,2386,0.05,1222
232772,2388,0.05,1351
233302,2391,0.05,1281
233960,2395,0.05,1512
234633,2399,0.05,1444
235227,2403,0.05,1227
235878,2407,0.05,1376
236497,2411,0.05,1333
237080,2414,0.05,1293
237689,2418,0.05,1325
238328,2422,0.05,1258
238906,2425,0.05,1184
239560,2429,0.05,1462
240219,2432,0.05,1549
240782,2434,0.05,1453
241282,2435,0.05,1829
241933,2448,0.05,1304
242461,2451,0.05,1412
243105,2454,0.05,1425
243704,2457,0.05,1525
244291,2460,0.05,1266
244825,2462,0.05,1216
245612,2465,0.05,1574
246234,2468,0.05,1415
246734,2471,0.05,1499
247423,2475,0.05,1423
247956,2478,0.05,1299
248458,2481,0.05,1276
249021,2484,0.05,1388
249700,2488,0.05,1436
250245,2491,0.05,1222
250909,2493,0.05,1689
251526,2497,0.05,1301
252077,2500,0.05,1449
252698,2504,0.05,1367
253324,2507,0.05,1272
253939,2510,0.05,1224
254564,2514,0.05,1380
255118,2517,0.05,1316
255723,2520,0.05,1271
256366,2524,0.05,1156
256999,2528,0.05,1084
257572,2532,0.05,1231
258433,2536,0.05,1664
259089,2540,0.05,1189
259715,2544,0.05,1098
260358,2548,0.05,1262
260971,2552,0.05,1056
261522,2566,0.05,1184
262078,2569,0.05,1226
262582,2572,0.05,1122
263109,2576,0.05,932
263635,2580,0.05,1030
264224,2584,0.05,1028
264781,2588,0.05,1066
265367,2592,0.05,1108
266034,2596,0.05,1409
266581,2598,0.05,1657
267239,2602,0.05,1386
267879,2606,0.05,1155
268492,2610,0.05,1290
269101,2614,0.05,1095
269694,2618,0.05,1027
270284,2622,0.05,1263
271081,2625,0.05,1596
271671,2628,0.05,1639
272186,2631,0.05,1156
272823,2635,0.05,1075
273410,2639,0.05,1145
273989,2643,0.05,1296
274615,2646,0.05,1419
275199,2649,0.05,1216
275754,2652,0.05,1046
276334,2656,0.05,1276
276983,2660,0.05,1365
277553,2663,0.05,1340
278130,2666,0.05,1205
278736,2670,0.05,1060
279291,2673,0.05,1203
279905,2677,0.05,1285
280547,2681,0.05,1198
281125,2685,0.05,1138
281762,2699,0.05,1314
282422,2703,0.05,1365
283017,2706,0.05,1349
283579,2709,0.05,1557
284150,2712,0.05,1224
284678,2715,0.05,1360
285202,2718,0.05,1322
285745,2721,0.05,1427
286267,2724,0.05,1280
286808,2726,0.05,1439
287451,2730,0.05,1303
288076,2733,0.05,1447
288740,2737,0.05,1452
289327,2740,0.05,1467
289901,2743,0.05,1428
290450,2746,0.05,1218
290988,2749,0.05,1288
291649,2752,0.05,1449
292262,2755,0.05,1630
292850,2759,0.05,1231
293367,2761,0.05,1376
293922,2764,0.05,1387
294555,2767,0.05,1475
295175,2770,0.05,1413
295834,2774,0.05,1428
296428,2777,0.05,1455
296981,2779,0.05,1683
297491,2782,0.05,1275
298033,2785,0.05,1261
298568,2788,0.05,1440
299134,2792,0.05,1214
299790,2796,0.05,1496
300312,2799,0.05,1235
300858,2802,0.05,1408
301471,2805,0.05,1430
302093,2818,0.05,1499
302688,2821,0.05,1456
303288,2824,0.05,1445
303849,2827,0.05,1553
304407,2830,0.05,1471
304915,2833,0.05,1519
305416,2836,0.05,1439
305981,2839,0.05,1464
306497,2842,0.05,1335
307078,2845,0.05,1540
307670,2848,0.05,1342
308195,2851,0.05,1368
308748,2854,0.05,1389
309469,2857,0.05,1718
310007,2860,0.05,1339
310549,2863,0.05,1201
311196,2866,0.05,1338
311860,2868,0.05,1755
312548,2871,0.05,1447
313209,2875,0.05,1551
313782,2878,0.05,1387
314438,2882,0.05,1409
314999,2885,0.05,1428
315504,2888,0.05,1340
316123,2891,0.05,1612
316727,2894,0.05,1538
317298,2897,0.05,1498
317945,2900,0.05,1440
318490,2903,0.05,1577
319045,2906,0.05,1329
319561,2909,0.05,1212
320188,2913,0.05,1230
320904,2916,0.05,1649
321497,2919,0.05,1310
322052,2932,0.05,1471
322567,2935,0.05,1410
323117,2938,0.05,1517
323684,2941,0.05,1523
324203,2944,0.05,1397
324870,2947,0.05,1526
