t_env,episode,epsilon,episode_reward
36,1,1.0,35.0
613,28,0.989911,81.0
1116,41,0.979651,44.0
1668,55,0.96998,87.0
2183,71,0.959435,47.0
2705,86,0.949042,22.0
3227,103,0.939238,28.0
3767,119,0.929529,57.0
4276,133,0.919288,27.0
4781,149,0.909674,26.0
5311,161,0.900041,49.0
5834,179,0.889686,27.0
6352,194,0.87973,21.0
6874,210,0.870306,47.0
7376,225,0.860445,30.0
7898,238,0.8504700000000001,27.0
8399,253,0.841597,61.0
8921,272,0.831109,31.0
9441,284,0.8219890000000001,71.0
9961,297,0.811653,47.0
10486,321,0.801716,49.0
11012,335,0.791285,26.0
11526,349,0.7815190000000001,26.0
12043,362,0.771924,38.0
12560,378,0.762158,41.0
13118,391,0.75281,107.0
13624,404,0.74217,53.0
14172,415,0.7318720000000001,59.0
14681,427,0.721498,22.0
15205,438,0.711732,32.0
15734,449,0.7020040000000001,49.0
16237,457,0.69315,86.0
16777,465,0.682301,55.0
17316,474,0.6735420000000001,133.0
17825,479,0.6644030000000001,161.0
18349,490,0.652224,44.0
18894,498,0.642439,74.0
19435,505,0.6316660000000001,48.0
20044,513,0.621349,114.0
20623,527,0.610234,108.0
21149,534,0.5987960000000001,32.0
21657,544,0.589315,41.0
22175,551,0.582057,177.0
22761,557,0.570581,159.0
23292,562,0.559067,84.0
23874,567,0.55084,233.0
24378,573,0.538205,72.0
24999,577,0.5275270000000001,131.0
25596,581,0.517248,187.0
26309,584,0.505012,256.0
26959,587,0.49237700000000006,241.0
27629,590,0.479229,219.0
28133,593,0.46758200000000005,110.0
28685,600,0.457778,146.0
29379,603,0.448848,370.0
29947,609,0.432717,89.0
30467,613,0.4246420000000001,184.0
31086,626,0.4132230000000001,202.0
31691,628,0.4043690000000001,341.0
32409,631,0.39169600000000004,392.0
32925,632,0.38422900000000004,515.0
33583,635,0.3676610000000001,301.0
34637,638,0.35267000000000004,566.0
35541,641,0.33264400000000005,416.0
36119,643,0.31987600000000005,322.0
36737,646,0.3072600000000001,276.0
37408,650,0.2930100000000001,197.0
37966,652,0.2843460000000001,299.0
38645,655,0.2696400000000001,204.0
39374,658,0.2565870000000001,246.0
39932,660,0.24691600000000014,295.0
40465,662,0.23646600000000007,278.0
41286,675,0.2217030000000001,322.0
42121,677,0.20716800000000013,392.0
42776,679,0.1918160000000001,239.0
43394,682,0.1792570000000001,196.0
44048,685,0.1669640000000001,203.0
44626,688,0.15575400000000006,191.0
45199,691,0.1448480000000001,190.0
45907,693,0.13626000000000016,446.0
46751,696,0.11859000000000008,360.0
48063,698,0.10245900000000008,823.0
48600,699,0.08680300000000007,536.0
49191,701,0.07080500000000012,285.0
49720,703,0.06022200000000011,257.0
