t_env,episode,epsilon,episode_reward
18,1,1.0,17.0
531,27,0.990253,17.0
1031,44,0.98138,50.0
1539,58,0.971177,21.0
2048,74,0.961753,34.0
2554,91,0.951911,22.0
3065,107,0.942449,35.0
3603,122,0.933063,79.0
4111,139,0.922689,41.0
4654,158,0.9126,53.0
5194,173,0.902568,65.0
5765,189,0.891852,72.0
6300,203,0.881212,47.0
6819,218,0.8711800000000001,38.0
7348,232,0.861167,40.0
7879,243,0.851021,37.0
8421,254,0.841578,82.0
8944,266,0.830634,29.0
9461,278,0.8210770000000001,43.0
10002,289,0.811273,68.0
10610,301,0.801336,153.0
11118,314,0.789556,41.0
11680,326,0.780151,108.0
12192,334,0.77124,151.0
12717,346,0.7593270000000001,49.0
13222,356,0.750093,68.0
13727,365,0.7400230000000001,43.0
14335,375,0.7299530000000001,121.0
14868,384,0.718534,53.0
15395,392,0.708939,75.0
16005,396,0.7000280000000001,216.0
16564,404,0.6865570000000001,66.0
17151,412,0.676639,131.0
17735,422,0.665942,152.0
18276,428,0.6543140000000001,81.0
18847,433,0.6445670000000001,139.0
19369,439,0.632901,47.0
19884,444,0.624104,99.0
20478,457,0.614091,166.0
21013,461,0.604458,194.0
21555,465,0.594635,219.0
22161,473,0.581126,114.0
22712,481,0.572215,196.0
23244,487,0.5617840000000001,179.0
23827,491,0.5505550000000001,171.0
24480,495,0.5390790000000001,220.0
25175,499,0.525817,217.0
25734,503,0.5144360000000001,177.0
26328,508,0.502143,124.0
26858,512,0.4920350000000001,122.0
27435,516,0.4824780000000001,196.0
28109,520,0.4710590000000001,269.0
28646,524,0.458272,133.0
29149,530,0.4470050000000001,43.0
29738,534,0.4380560000000001,161.0
30298,539,0.4269600000000001,137.0
31207,543,0.41550300000000007,443.0
31874,546,0.39920100000000003,252.0
32383,548,0.390062,280.0
33020,551,0.3760970000000001,182.0
33601,554,0.3650580000000001,182.0
34140,557,0.3540380000000001,141.0
34648,560,0.34467100000000006,156.0
35307,564,0.33220700000000003,159.0
35896,568,0.32042700000000013,128.0
36549,572,0.30881800000000004,170.0
37142,576,0.2976080000000001,173.0
37744,580,0.2858280000000001,155.0
38323,583,0.2756630000000001,199.0
38841,586,0.26490900000000006,151.0
39370,589,0.25512400000000013,165.0
39981,592,0.24492100000000006,239.0
40519,605,0.23336900000000005,169.0
41154,608,0.22212100000000012,212.0
41756,611,0.21032200000000012,193.0
42369,614,0.1985420000000001,186.0
43002,617,0.18668600000000013,195.0
43617,620,0.17606500000000014,251.0
44306,623,0.16206200000000015,203.0
44891,626,0.15047200000000005,178.0
45492,629,0.1390340000000001,177.0
46027,632,0.12883100000000014,175.0
46777,636,0.11631000000000014,266.0
47410,639,0.10371300000000006,236.0
48127,642,0.08976700000000015,219.0
48696,644,0.08102700000000007,328.0
49246,646,0.06958900000000012,276.0
50227,648,0.05910100000000007,705.0
51193,650,0.05,587.0
51755,652,0.05,250.0
52497,655,0.05,269.0
53166,658,0.05,209.0
53767,661,0.05,195.0
54390,664,0.05,210.0
54920,666,0.05,316.0
55461,668,0.05,293.0
56142,670,0.05,376.0
56881,672,0.05,396.0
57385,674,0.05,249.0
57902,676,0.05,263.0
58552,679,0.05,186.0
59208,682,0.05,221.0
59749,684,0.05,340.0
60362,686,0.05,341.0
60872,698,0.05,234.0
61596,701,0.05,226.0
62349,704,0.05,257.0
62948,707,0.05,187.0
63487,710,0.05,165.0
64011,713,0.05,158.0
64671,717,0.05,165.0
65224,720,0.05,171.0
65731,723,0.05,166.0
66249,726,0.05,173.0
66877,730,0.05,147.0
67511,734,0.05,143.0
68050,737,0.05,184.0
68570,740,0.05,153.0
69149,743,0.05,223.0
70070,745,0.05,629.0
70735,747,0.05,299.0
71481,749,0.05,338.0
72043,751,0.05,256.0
72746,754,0.05,209.0
73376,757,0.05,209.0
73942,760,0.05,178.0
74486,763,0.05,175.0
75042,766,0.05,168.0
75563,769,0.05,194.0
76247,773,0.05,192.0
76764,776,0.05,162.0
77307,779,0.05,195.0
77837,782,0.05,183.0
78381,785,0.05,188.0
78962,788,0.05,208.0
79596,792,0.05,165.0
80185,795,0.05,212.0
80838,808,0.05,205.0
81445,811,0.05,200.0
82061,814,0.05,196.0
82651,817,0.05,207.0
83161,820,0.05,182.0
83672,823,0.05,178.0
84326,827,0.05,160.0
84956,831,0.05,180.0
85614,835,0.05,171.0
86138,838,0.05,169.0
86657,841,0.05,175.0
87316,845,0.05,168.0
87837,848,0.05,180.0
88511,852,0.05,189.0
89177,855,0.05,218.0
89845,858,0.05,234.0
90439,861,0.05,191.0
