t_env,episode,epsilon,episode_reward
65,1,1.0,224
603,24,0.989493,194
1135,34,0.9796320000000001,197
1670,47,0.969125,167
2185,57,0.9589030000000001,126
2741,67,0.949859,310
3247,78,0.939124,205
3752,88,0.929928,216
4314,100,0.919611,238
4817,112,0.909199,199
5349,124,0.899319,170
5853,136,0.889914,241
6410,148,0.879673,282
6910,154,0.871218,310
7430,163,0.859514,158
7958,174,0.84971,159
8474,183,0.839678,152
9014,194,0.829551,181
9522,203,0.819785,171
10046,215,0.809905,161
10576,225,0.799949,206
11082,233,0.790772,233
11619,244,0.781215,302
12153,254,0.770062,185
12676,264,0.760125,224
13181,274,0.750435,204
13688,282,0.740897,193
14219,290,0.7309410000000001,187
14749,299,0.720909,189
15293,305,0.7115990000000001,377
15824,312,0.700275,228
16373,321,0.6899010000000001,209
16962,327,0.680629,299
17476,335,0.669552,286
18024,343,0.658798,249
18569,351,0.6488800000000001,295
19085,357,0.638962,249
19639,364,0.628075,271
20145,371,0.6190310000000001,294
20668,387,0.6088660000000001,281
21210,394,0.5991000000000001,316
21773,400,0.588118,257
22279,407,0.577744,253
22794,412,0.569042,346
23394,419,0.5577750000000001,622
23908,425,0.5468310000000001,218
24504,431,0.5369320000000001,339
25046,437,0.5256460000000001,292
25578,442,0.5159180000000001,446
26111,446,0.5067030000000001,565
26681,451,0.49484700000000004,335
27197,457,0.48489100000000007,377
27706,461,0.47622700000000007,429
28249,464,0.466214,538
28975,469,0.45549800000000007,671
29595,475,0.4399940000000001,399
30106,480,0.42975300000000005,449
30663,486,0.41911300000000007,426
31179,491,0.40972700000000006,447
31797,496,0.3981180000000001,429
32304,500,0.3888840000000001,380
32892,504,0.37843400000000005,688
33409,508,0.3681550000000001,471
33951,512,0.35696400000000006,386
34466,517,0.3467990000000001,497
34972,520,0.33815400000000007,513
35520,524,0.3279320000000001,498
36071,529,0.3164370000000001,394
36613,534,0.3060820000000001,406
37157,539,0.29601200000000005,367
37812,544,0.2851060000000001,603
38381,548,0.27290800000000004,505
38899,552,0.2650230000000001,697
39445,556,0.2537940000000001,651
40027,561,0.24201400000000006,618
40653,576,0.2306330000000001,782
41218,580,0.21908100000000008,378
41766,584,0.20851700000000006,499
42271,588,0.19964400000000004,645
42810,593,0.18847200000000008,579
43383,597,0.1780980000000001,551
43991,601,0.1664890000000001,645
44528,605,0.15697000000000005,623
45156,608,0.14834400000000014,981
45698,611,0.13455000000000006,699
46254,614,0.12516400000000005,587
46755,617,0.11458100000000015,719
47346,620,0.10439700000000007,690
47956,624,0.09143900000000016,528
48509,628,0.07988700000000015,410
49050,632,0.07055800000000012,459
49592,635,0.06282500000000013,844
50120,638,0.051425000000000165,787
50727,641,0.05,768
51330,644,0.05,1054
51863,647,0.05,657
52435,650,0.05,687
53004,653,0.05,922
53620,656,0.05,694
54167,659,0.05,631
54748,662,0.05,680
