t_env,episode,epsilon,episode_reward
70,1,1.0,233
635,22,0.989721,319
1141,30,0.978853,160
1672,41,0.969049,156
2179,50,0.959739,260
2698,62,0.949498,187
3220,74,0.939865,201
3762,86,0.929339,151
4294,97,0.919573,193
4801,108,0.909864,175
5327,119,0.899946,229
5849,131,0.8899900000000001,221
6364,143,0.880091,170
6900,156,0.869603,170
7448,168,0.859685,207
7964,178,0.849729,203
8490,190,0.839583,188
8999,201,0.829817,170
9528,216,0.819728,157
10076,230,0.810114,203
10619,245,0.799455,218
11139,258,0.788986,165
11649,269,0.779315,164
12168,281,0.769644,181
12714,294,0.7598590000000001,251
13251,305,0.749314,173
13792,319,0.738921,210
14311,330,0.728756,148
14829,343,0.718686,118
15346,359,0.70892,131
15847,371,0.6995720000000001,159
16390,382,0.6894640000000001,171
16897,394,0.680192,248
17431,405,0.669913,182
17939,415,0.660679,240
18457,426,0.650761,228
19029,434,0.6400830000000001,329
19569,442,0.629367,244
20108,451,0.619335,220
20618,470,0.6088660000000001,143
21183,478,0.5993280000000001,237
21728,485,0.5881940000000001,250
22257,492,0.578219,183
22791,500,0.568244,205
23313,507,0.558231,239
23819,515,0.548845,291
24413,522,0.5380150000000001,375
24966,529,0.527242,287
25489,535,0.5182930000000001,447
25996,542,0.5073110000000001,335
26556,548,0.4968420000000001,289
27083,553,0.48787400000000003,414
27767,559,0.47670200000000007,561
28358,565,0.4633640000000001,429
28861,570,0.4532560000000001,283
29489,576,0.4422170000000001,423
30049,581,0.43243200000000004,481
30646,587,0.41985400000000006,354
31150,592,0.4091950000000001,253
31687,595,0.40007500000000007,412
32209,599,0.3897010000000001,381
32828,603,0.37965000000000004,473
33395,608,0.36807900000000005,458
33970,612,0.35628000000000004,425
34497,615,0.3479960000000001,522
35063,618,0.33748900000000004,632
35613,622,0.3258040000000001,475
36138,626,0.31607600000000013,703
36840,630,0.3052650000000001,766
37369,634,0.29188900000000007,518
37905,638,0.2821800000000001,376
38485,642,0.27102700000000013,451
39200,646,0.2594750000000001,708
39746,649,0.24801800000000007,628
40309,663,0.23728300000000013,748
40918,667,0.22540800000000005,627
41581,671,0.21427400000000008,861
42207,675,0.20160100000000014,691
42750,679,0.19122700000000015,543
43439,683,0.1797700000000001,1083
44062,687,0.16595700000000013,743
44623,691,0.15531700000000015,541
45219,695,0.14397400000000016,628
45783,698,0.13265000000000016,522
46403,700,0.12066100000000013,492
46939,703,0.11097100000000015,633
47452,706,0.10272500000000007,693
48144,709,0.09345300000000012,1118
48677,712,0.07891800000000015,715
49360,715,0.0660360000000001,674
49906,718,0.055016000000000065,775
50579,721,0.05,1067
51081,723,0.05,1125
51774,727,0.05,1034
52424,729,0.05,791
52983,732,0.05,413
53562,735,0.05,709
54090,738,0.05,1029
54603,741,0.05,931
55335,745,0.05,986
55922,748,0.05,852
56461,750,0.05,871
57186,753,0.05,919
57703,755,0.05,964
58286,758,0.05,878
59007,760,0.05,1144
59942,763,0.05,1301
60594,776,0.05,721
61208,778,0.05,969
61797,781,0.05,898
62297,782,0.05,1064
62801,784,0.05,530
63335,787,0.05,1064
63914,790,0.05,727
64576,793,0.05,768
65134,796,0.05,878
65694,799,0.05,887
66204,802,0.05,840
66862,805,0.05,857
67557,807,0.05,1223
68066,810,0.05,651
68566,812,0.05,960
69372,815,0.05,1070
69935,818,0.05,855
70826,821,0.05,1143
71489,824,0.05,1112
72240,827,0.05,1213
72932,830,0.05,788
73579,833,0.05,908
74188,836,0.05,1018
74722,839,0.05,860
75416,842,0.05,823
75996,845,0.05,885
76653,848,0.05,806
77243,851,0.05,985
77956,855,0.05,954
78628,858,0.05,809
79300,861,0.05,1180
79802,864,0.05,598
80332,866,0.05,654
81044,879,0.05,999
81650,882,0.05,736
82432,885,0.05,903
82932,886,0.05,943
83432,887,0.05,1031
84029,890,0.05,1021
84529,891,0.05,1137
85220,894,0.05,915
85970,896,0.05,1359
86640,899,0.05,1105
87357,902,0.05,1110
88037,905,0.05,1021
88676,907,0.05,1294
89430,910,0.05,1075
90222,913,0.05,1251
91038,916,0.05,1080
91820,919,0.05,1258
92506,922,0.05,914
93027,924,0.05,830
93695,927,0.05,1003
94439,930,0.05,1289
94982,932,0.05,943
95607,934,0.05,1208
96117,936,0.05,908
96906,938,0.05,1202
97641,941,0.05,1175
98290,944,0.05,1178
98929,947,0.05,1040
99502,949,0.05,1078
100052,952,0.05,838
100554,954,0.05,903
101306,967,0.05,1151
102148,970,0.05,1289
102760,973,0.05,1004
103385,976,0.05,991
103941,978,0.05,1118
104701,981,0.05,1314
105433,983,0.05,1468
106027,985,0.05,1155
106723,988,0.05,1126
107223,990,0.05,947
107732,992,0.05,1090
108663,994,0.05,1362
109396,997,0.05,993
109943,999,0.05,1118
110559,1002,0.05,907
111335,1004,0.05,1244
112124,1007,0.05,1322
112745,1009,0.05,1406
113460,1012,0.05,1141
114016,1015,0.05,879
114818,1018,0.05,1006
115562,1021,0.05,1086
116103,1023,0.05,1070
116823,1025,0.05,1169
117491,1027,0.05,1288
118097,1029,0.05,1265
118765,1031,0.05,930
119428,1033,0.05,1160
120100,1036,0.05,1072
120600,1037,0.05,1506
121382,1049,0.05,1281
122078,1051,0.05,1585
122695,1053,0.05,1229
123442,1056,0.05,1223
124134,1059,0.05,850
124639,1061,0.05,1103
125273,1063,0.05,954
125814,1065,0.05,871
126550,1067,0.05,1544
127211,1070,0.05,935
127872,1073,0.05,898
128548,1075,0.05,955
129208,1077,0.05,1187
129896,1079,0.05,1319
130513,1082,0.05,1081
131131,1084,0.05,1247
131730,1086,0.05,903
132513,1088,0.05,1352
133084,1090,0.05,1396
133594,1092,0.05,1068
134179,1094,0.05,1230
134679,1095,0.05,1647
135220,1097,0.05,1310
135720,1098,0.05,1555
136303,1100,0.05,1246
136830,1102,0.05,725
137466,1105,0.05,1081
137966,1106,0.05,1371
138777,1109,0.05,1355
139329,1111,0.05,947
139864,1113,0.05,1141
140364,1115,0.05,1240
141148,1128,0.05,1096
141733,1130,0.05,872
142402,1133,0.05,904
143049,1135,0.05,1126
143728,1137,0.05,1100
144228,1138,0.05,1363
144901,1141,0.05,1253
145646,1143,0.05,1142
146452,1145,0.05,1535
146957,1147,0.05,1201
147652,1149,0.05,1230
148239,1151,0.05,1065
148941,1154,0.05,1074
149732,1157,0.05,1305
150389,1159,0.05,1140
150961,1161,0.05,1345
151647,1164,0.05,1026
152229,1166,0.05,1248
153041,1169,0.05,1222
153776,1172,0.05,940
154541,1175,0.05,1308
155281,1177,0.05,1395
155989,1179,0.05,1427
156551,1181,0.05,1206
157051,1182,0.05,1204
157707,1184,0.05,1375
158457,1186,0.05,1221
159075,1188,0.05,1519
159647,1190,0.05,1078
160391,1192,0.05,1433
160924,1194,0.05,1066
161599,1206,0.05,1216
162136,1208,0.05,1008
162724,1210,0.05,1548
163521,1213,0.05,1182
164021,1214,0.05,1231
164521,1215,0.05,1474
165071,1217,0.05,1098
165956,1220,0.05,1635
166464,1222,0.05,1214
167013,1224,0.05,996
167929,1227,0.05,1485
168436,1229,0.05,1125
169036,1231,0.05,1139
