t_env,episode,epsilon,episode_reward
32,1,1.0,165
574,21,0.990139,223
1127,33,0.979613,210
1627,44,0.970113,214
2139,55,0.9601,180
2651,64,0.950752,181
3183,74,0.9403590000000001,184
3712,85,0.930232,184
4268,97,0.919991,179
4781,108,0.910757,246
5295,119,0.900307,172
5837,130,0.889933,183
6387,143,0.879806,201
6917,154,0.869185,160
7463,166,0.8590960000000001,175
7991,178,0.848912,180
8524,189,0.83907,163
9070,201,0.828677,161
9604,215,0.818436,180
10150,226,0.808423,201
10666,237,0.798011,149
11181,251,0.788397,155
11689,263,0.779049,205
12213,277,0.768751,146
12765,289,0.7586430000000001,166
13280,304,0.748554,173
13793,316,0.7390730000000001,160
14326,331,0.728642,180
14851,345,0.718553,151
15389,359,0.708502,203
15913,373,0.698242,154
16419,385,0.688571,142
16940,401,0.678691,144
17449,413,0.669913,194
17951,424,0.659672,160
18453,437,0.650172,175
18968,449,0.6401020000000001,129
19499,461,0.6302030000000001,163
20007,472,0.620722,170
20516,493,0.611982,290
21055,503,0.600981,204
21603,513,0.590816,205
22182,522,0.580195,209
22795,532,0.569099,300
23323,541,0.558022,246
23863,549,0.5477050000000001,254
24445,557,0.5376350000000001,345
24957,566,0.5264630000000001,154
25477,572,0.516735,180
25984,577,0.507881,339
26540,584,0.4971080000000001,234
27061,591,0.48719,260
27565,599,0.4769300000000001,174
28161,607,0.4669930000000001,290
28763,615,0.4562010000000001,459
29268,623,0.44470600000000005,204
29813,631,0.43501600000000007,296
30377,639,0.4243570000000001,332
30936,647,0.413679,263
31500,655,0.40400800000000003,288
32052,663,0.3928170000000001,344
32610,669,0.38345000000000007,397
33126,676,0.37199300000000013,339
33676,684,0.3616950000000001,333
34192,690,0.3523090000000001,272
34743,697,0.34130800000000006,298
35250,701,0.3312760000000001,245
35754,708,0.32175700000000007,252
36294,714,0.31166800000000006,257
36811,722,0.30211100000000013,308
37350,730,0.29215500000000005,292
37865,733,0.28662600000000005,526
38381,739,0.2720910000000001,340
38966,746,0.2621350000000001,398
39479,750,0.2513430000000001,337
39997,755,0.2412350000000001,267
40592,771,0.2308420000000001,425
41141,776,0.21993600000000013,359
41687,783,0.20912500000000012,251
42269,788,0.19911200000000007,418
42848,794,0.1877310000000001,314
43388,800,0.17769900000000005,413
43976,807,0.16618500000000014,385
44610,812,0.15583000000000014,553
45148,819,0.14403100000000013,311
45901,823,0.13728600000000013,745
46426,829,0.11986300000000016,425
46968,835,0.10852000000000006,288
47492,839,0.09974200000000011,427
48023,844,0.09022300000000016,518
48616,850,0.07829100000000011,457
49179,855,0.06772700000000009,457
49819,859,0.05982300000000007,654
50323,862,0.05,312
50865,866,0.05,442
51415,870,0.05,409
52035,876,0.05,569
52561,880,0.05,413
53090,885,0.05,381
53686,890,0.05,455
54222,894,0.05,642
54743,900,0.05,432
55320,906,0.05,424
55824,912,0.05,349
56375,915,0.05,592
56990,919,0.05,575
57595,923,0.05,690
58175,928,0.05,534
58686,932,0.05,391
59281,936,0.05,455
59810,940,0.05,579
60375,956,0.05,440
60915,960,0.05,408
61514,964,0.05,589
62083,968,0.05,417
62599,972,0.05,519
63120,976,0.05,541
63699,981,0.05,501
64255,984,0.05,788
64809,988,0.05,581
65405,992,0.05,482
65962,997,0.05,541
66603,1002,0.05,549
67119,1006,0.05,533
67626,1010,0.05,477
68200,1014,0.05,682
68723,1018,0.05,650
69327,1022,0.05,590
69829,1024,0.05,689
70457,1029,0.05,715
70983,1033,0.05,557
71544,1037,0.05,865
72129,1041,0.05,858
72706,1045,0.05,559
73219,1049,0.05,638
73720,1052,0.05,781
74249,1056,0.05,664
74770,1060,0.05,550
75464,1065,0.05,826
76090,1069,0.05,862
76694,1072,0.05,710
77295,1076,0.05,617
77802,1080,0.05,668
78316,1084,0.05,694
78868,1087,0.05,699
79401,1092,0.05,505
79999,1096,0.05,478
80611,1110,0.05,677
81152,1114,0.05,752
81884,1118,0.05,784
82502,1122,0.05,787
83088,1126,0.05,655
83669,1130,0.05,723
84256,1134,0.05,588
84859,1138,0.05,847
85375,1141,0.05,737
86043,1145,0.05,886
86669,1149,0.05,708
87296,1153,0.05,745
87957,1156,0.05,997
88554,1159,0.05,720
89107,1162,0.05,950
89662,1165,0.05,911
90213,1168,0.05,774
90764,1171,0.05,772
91320,1174,0.05,870
91895,1177,0.05,611
92466,1181,0.05,708
93075,1185,0.05,692
93677,1189,0.05,710
94218,1193,0.05,733
94754,1196,0.05,777
95460,1199,0.05,840
95980,1202,0.05,788
96484,1205,0.05,726
97033,1208,0.05,735
97544,1212,0.05,673
98109,1216,0.05,757
98687,1220,0.05,695
99229,1224,0.05,691
99801,1228,0.05,592
100336,1232,0.05,769
100924,1247,0.05,770
101504,1251,0.05,709
102166,1254,0.05,674
102690,1258,0.05,616
103237,1262,0.05,794
103836,1266,0.05,821
104342,1270,0.05,650
104883,1274,0.05,710
105441,1278,0.05,563
106013,1281,0.05,666
106517,1285,0.05,599
107060,1289,0.05,801
107596,1292,0.05,671
108176,1296,0.05,770
108740,1300,0.05,622
109347,1304,0.05,727
109955,1308,0.05,750
110471,1312,0.05,728
111012,1316,0.05,875
111564,1320,0.05,709
112083,1323,0.05,808
112588,1326,0.05,837
113093,1330,0.05,762
113704,1334,0.05,892
114373,1338,0.05,835
114904,1342,0.05,767
115546,1345,0.05,780
116156,1348,0.05,789
116720,1351,0.05,788
117337,1354,0.05,988
117963,1358,0.05,791
118508,1361,0.05,892
119038,1365,0.05,758
119603,1368,0.05,836
120111,1371,0.05,984
120660,1384,0.05,806
121314,1387,0.05,885
121852,1389,0.05,1140
122408,1393,0.05,705
123017,1396,0.05,797
123634,1400,0.05,811
124218,1403,0.05,831
124795,1406,0.05,879
125396,1410,0.05,725
125913,1413,0.05,668
126428,1417,0.05,718
127050,1421,0.05,866
127671,1424,0.05,852
128222,1427,0.05,920
128724,1429,0.05,1346
129407,1432,0.05,1191
130152,1436,0.05,1004
130668,1438,0.05,735
131264,1441,0.05,726
131918,1443,0.05,1065
132453,1446,0.05,930
133132,1449,0.05,921
133649,1452,0.05,861
134277,1455,0.05,1136
134858,1458,0.05,982
135361,1461,0.05,968
136088,1465,0.05,1002
136971,1469,0.05,1182
137615,1472,0.05,1003
138198,1475,0.05,971
138780,1478,0.05,1044
139500,1481,0.05,1113
140157,1484,0.05,1329
140733,1497,0.05,953
141329,1500,0.05,840
141919,1503,0.05,961
142824,1507,0.05,1305
143371,1510,0.05,1070
143962,1513,0.05,771
144606,1516,0.05,995
145232,1519,0.05,971
145798,1522,0.05,928
146302,1525,0.05,775
146911,1529,0.05,855
147532,1532,0.05,856
148188,1536,0.05,875
148765,1540,0.05,813
149388,1543,0.05,857
150028,1546,0.05,958
150690,1548,0.05,1216
151328,1551,0.05,1260
152138,1554,0.05,1183
152650,1557,0.05,853
153221,1560,0.05,830
153831,1563,0.05,807
154412,1566,0.05,754
154976,1569,0.05,988
155512,1572,0.05,1021
156212,1575,0.05,1161
156946,1579,0.05,1148
157600,1581,0.05,1219
158430,1584,0.05,1603
159222,1587,0.05,1320
159839,1590,0.05,1031
160424,1592,0.05,1364
161020,1605,0.05,1018
161541,1607,0.05,1056
162208,1609,0.05,1161
162895,1611,0.05,1100
163730,1613,0.05,1389
164703,1616,0.05,1424
165254,1618,0.05,1123
165886,1621,0.05,933
166691,1624,0.05,1378
167299,1627,0.05,1086
167893,1630,0.05,906
168405,1632,0.05,1036
168905,1633,0.05,1452
169409,1635,0.05,1074
170089,1638,0.05,883
170851,1640,0.05,1329
171357,1642,0.05,1236
172025,1644,0.05,1022
172525,1645,0.05,1319
173025,1646,0.05,1422
173822,1649,0.05,1722
174406,1651,0.05,1218
175151,1653,0.05,1473
175825,1656,0.05,1010
176512,1659,0.05,1075
177172,1662,0.05,1093
177783,1664,0.05,1514
178530,1667,0.05,1017
179416,1670,0.05,1253
179977,1672,0.05,1543
180679,1674,0.05,1153
181326,1686,0.05,1367
182056,1689,0.05,1274
182556,1690,0.05,2278
183086,1692,0.05,1132
183586,1693,0.05,1872
184213,1695,0.05,1489
184884,1698,0.05,1188
185468,1700,0.05,911
185968,1701,0.05,1584
186749,1703,0.05,1399
187301,1705,0.05,1716
187801,1706,0.05,2065
188427,1708,0.05,1348
189025,1711,0.05,811
189600,1713,0.05,1166
190225,1715,0.05,1675
190725,1716,0.05,1284
191416,1718,0.05,940
191997,1720,0.05,1205
192617,1723,0.05,948
193430,1726,0.05,1289
194399,1729,0.05,1822
194979,1731,0.05,1451
195740,1733,0.05,1693
196387,1736,0.05,971
197110,1739,0.05,1317
197856,1741,0.05,1476
198535,1744,0.05,777
199430,1747,0.05,1124
199930,1748,0.05,1447
200530,1750,0.05,1004
201117,1762,0.05,1318
201800,1764,0.05,1141
202435,1766,0.05,916
203153,1769,0.05,1368
203910,1771,0.05,1261
204709,1773,0.05,1538
205567,1776,0.05,1352
206134,1778,0.05,1410
207102,1781,0.05,1423
207661,1783,0.05,1237
208469,1785,0.05,1505
209031,1787,0.05,1300
209631,1789,0.05,1581
210451,1791,0.05,1640
210980,1793,0.05,1125
211819,1795,0.05,1639
212482,1798,0.05,975
213161,1800,0.05,1678
214145,1803,0.05,1747
214991,1805,0.05,1941
215672,1807,0.05,1396
216273,1809,0.05,1415
216865,1811,0.05,1161
217737,1813,0.05,1807
218529,1815,0.05,1681
219029,1816,0.05,1572
219641,1818,0.05,1132
220141,1819,0.05,1360
220641,1820,0.05,1361
221309,1832,0.05,1552
222093,1834,0.05,1829
222724,1836,0.05,1222
223492,1838,0.05,1219
223992,1839,0.05,1644
224616,1841,0.05,1433
225116,1842,0.05,1766
225904,1844,0.05,1406
226482,1846,0.05,799
227145,1848,0.05,1462
227645,1849,0.05,1645
228380,1851,0.05,1479
229060,1853,0.05,1134
229871,1856,0.05,1234
230639,1858,0.05,1447
231404,1860,0.05,1486
232038,1862,0.05,1480
232760,1864,0.05,1765
233408,1866,0.05,1650
234104,1868,0.05,867
234869,1871,0.05,1337
235369,1872,0.05,1571
235901,1874,0.05,1091
236449,1876,0.05,1140
237146,1879,0.05,995
237749,1882,0.05,879
238476,1884,0.05,1419
238976,1885,0.05,1880
239717,1887,0.05,1145
240481,1889,0.05,1293
241356,1902,0.05,1348
241918,1904,0.05,1373
242592,1906,0.05,1100
243129,1908,0.05,1058
243629,1909,0.05,1906
244242,1911,0.05,1152
245054,1913,0.05,1760
245799,1916,0.05,1408
246492,1918,0.05,1600
247092,1920,0.05,1108
247737,1922,0.05,1419
248483,1924,0.05,1590
249151,1926,0.05,1317
249651,1927,0.05,1577
250457,1929,0.05,1577
251003,1931,0.05,1364
251840,1933,0.05,1712
252793,1935,0.05,1767
253647,1937,0.05,1706
254226,1939,0.05,1354
254906,1941,0.05,1677
255754,1943,0.05,1649
256535,1945,0.05,1330
257105,1947,0.05,1019
257692,1949,0.05,1230
258537,1951,0.05,1823
259196,1953,0.05,1686
260173,1956,0.05,1861
260948,1959,0.05,1569
261524,1971,0.05,466
262455,1974,0.05,1330
263086,1977,0.05,1146
263896,1979,0.05,2146
264456,1981,0.05,1607
265102,1983,0.05,1403
265983,1985,0.05,1536
266483,1986,0.05,1606
267295,1988,0.05,1412
268015,1990,0.05,1704
268708,1992,0.05,1507
269304,1994,0.05,1430
269959,1996,0.05,1045
270470,1998,0.05,1042
270970,1999,0.05,1621
271660,2002,0.05,1115
272163,2004,0.05,1146
272691,2006,0.05,1461
273401,2008,0.05,1477
274225,2010,0.05,1242
274969,2012,0.05,1501
275555,2014,0.05,1134
276122,2016,0.05,1783
276986,2018,0.05,1954
277870,2020,0.05,2389
278750,2022,0.05,1781
279514,2025,0.05,1259
280103,2027,0.05,1453
280913,2029,0.05,1801
281413,2030,0.05,1695
281921,2042,0.05,1032
282421,2043,0.05,1687
282921,2044,0.05,1580
283508,2046,0.05,1339
284169,2048,0.05,1091
284841,2051,0.05,1099
285348,2053,0.05,1154
286101,2056,0.05,1139
286899,2058,0.05,1767
