t_env,episode,epsilon,episode_reward
52,1,1.0,102.0
556,29,0.989949,52.0
1074,49,0.980278,70.0
1598,69,0.970322,70.0
2106,92,0.960518,54.0
2610,112,0.950847,44.0
3111,133,0.94129,40.0
3639,154,0.931448,60.0
4153,176,0.921644,56.0
4676,196,0.9116500000000001,50.0
5184,217,0.902074,58.0
5705,237,0.892099,50.0
6218,257,0.882143,28.0
6730,276,0.872529,40.0
7233,298,0.863162,60.0
7766,316,0.853111,68.0
8273,337,0.8431930000000001,38.0
8775,354,0.83375,48.0
9278,374,0.824098,38.0
9785,395,0.814826,76.0
10286,415,0.804965,40.0
10806,436,0.795598,94.0
11312,455,0.785452,38.0
11816,474,0.7760090000000001,52.0
12332,489,0.766148,46.0
12847,507,0.756325,42.0
13358,525,0.7467490000000001,56.0
13879,542,0.736945,66.0
14411,559,0.726932,76.0
14916,575,0.717147,56.0
15430,592,0.7072670000000001,44.0
15969,609,0.69752,96.0
16522,623,0.687165,112.0
17035,638,0.6769620000000001,64.0
17540,650,0.667671,96.0
18067,664,0.657316,60.0
18592,673,0.647892,118.0
19105,680,0.639228,232.0
19658,690,0.627904,146.0
20170,711,0.6171690000000001,40.0
20673,722,0.608847,170.0
21187,733,0.598093,66.0
21796,744,0.5880610000000001,228.0
22322,754,0.5767180000000001,86.0
22841,764,0.5669900000000001,100.0
23345,775,0.5574330000000001,102.0
23893,782,0.548066,212.0
24410,789,0.537502,134.0
24914,798,0.527166,54.0
25425,805,0.517951,106.0
25969,813,0.5076530000000001,110.0
26496,820,0.499483,304.0
27081,827,0.4880070000000001,266.0
27584,835,0.477063,120.0
28156,840,0.4668030000000001,184.0
28702,847,0.455612,98.0
29387,856,0.44544700000000004,398.0
29912,859,0.43530100000000005,380.0
30432,865,0.424528,286.0
31035,871,0.41286200000000006,264.0
31572,875,0.401614,154.0
32096,880,0.3923040000000001,222.0
32641,885,0.38255700000000004,286.0
33162,892,0.371499,164.0
33670,897,0.36199900000000007,180.0
34280,905,0.3513590000000001,280.0
34968,910,0.33940800000000004,398.0
35543,913,0.3284830000000001,398.0
36138,918,0.3154300000000001,214.0
36828,923,0.3040680000000001,398.0
37507,927,0.29116700000000006,398.0
38031,930,0.2802230000000001,294.0
38594,934,0.27051400000000014,398.0
