t_env,episode,epsilon,episode_reward
41,1,1.0,182
593,21,0.989854,220
1118,31,0.979936,203
1627,40,0.970455,255
2184,51,0.959739,213
2696,61,0.949954,233
3248,69,0.940264,271
3758,78,0.9297,193
4282,89,0.91963,187
4798,101,0.9097500000000001,206
5304,111,0.899927,156
5816,121,0.890541,186
6335,131,0.880623,220
6879,142,0.870382,211
7420,151,0.861091,333
7950,162,0.849862,219
8491,172,0.839773,216
9048,182,0.829475,269
9556,192,0.819329,198
10081,202,0.809278,163
10582,212,0.799778,152
11118,222,0.790297,295
11620,231,0.779923,176
12168,241,0.769891,195
12687,252,0.759745,174
13216,264,0.7497510000000001,175
13743,273,0.740327,231
14291,284,0.7294590000000001,209
14816,296,0.719085,144
15318,305,0.7100980000000001,195
15827,316,0.7003510000000001,203
16335,327,0.690281,160
16875,339,0.680173,160
17383,351,0.670312,140
17926,362,0.66085,205
18446,372,0.650533,205
18964,382,0.640406,140
19514,393,0.630279,165
20017,402,0.62076,189
20559,423,0.610538,211
21094,435,0.6002210000000001,231
21610,445,0.589885,129
22126,454,0.5805750000000001,182
22632,464,0.571493,204
23140,472,0.5612140000000001,175
23685,481,0.5516380000000001,224
24193,490,0.541625,310
24751,499,0.531498,267
25285,507,0.52063,202
25813,516,0.5105410000000001,192
26329,525,0.5009270000000001,187
26838,534,0.4915980000000001,224
27372,545,0.48080600000000007,189
27919,556,0.47050800000000004,181
28520,565,0.4605330000000001,255
29034,574,0.4496460000000001,202
29535,584,0.43989900000000004,187
30044,593,0.43001900000000004,152
30553,603,0.4203100000000001,163
31091,612,0.41025900000000004,182
31602,620,0.400417,153
32105,629,0.391012,168
32635,639,0.3807710000000001,179
33152,647,0.371252,188
33683,658,0.3609920000000001,175
34205,669,0.3510740000000001,177
34741,679,0.3410230000000001,197
35258,687,0.3317700000000001,217
35783,696,0.3211680000000001,181
36311,705,0.3110600000000001,156
36820,712,0.30180700000000005,199
37338,721,0.29164200000000007,231
37869,730,0.28153400000000006,233
38379,739,0.27167300000000005,180
38908,748,0.26278100000000004,303
39433,756,0.2527300000000001,262
39958,764,0.24226100000000006,219
40475,783,0.2320770000000001,164
41035,791,0.22179800000000005,214
41553,798,0.21258300000000008,315
42082,804,0.20184800000000014,230
42607,811,0.1918350000000001,211
43170,819,0.18129000000000006,221
43726,827,0.17097300000000015,207
44261,834,0.16065600000000013,223
44805,843,0.14976900000000015,175
45368,852,0.13922400000000013,222
45892,860,0.1291350000000001,231
46406,867,0.11954000000000009,212
46959,875,0.10954600000000014,245
47462,883,0.09966600000000014,206
47998,891,0.08991900000000008,257
48601,900,0.0790510000000001,305
49149,910,0.06742300000000012,227
49687,918,0.0578280000000001,318
50217,926,0.05,224
50763,934,0.05,263
51279,943,0.05,167
51794,950,0.05,275
52298,957,0.05,260
52851,965,0.05,320
53415,974,0.05,254
53947,982,0.05,283
54455,989,0.05,216
54989,997,0.05,228
55504,1004,0.05,222
56008,1011,0.05,234
56548,1020,0.05,278
57098,1027,0.05,226
57614,1034,0.05,238
58145,1042,0.05,263
58686,1050,0.05,263
59260,1057,0.05,329
59818,1066,0.05,235
60333,1083,0.05,241
60849,1090,0.05,223
61394,1096,0.05,285
61937,1104,0.05,208
62445,1112,0.05,217
62953,1118,0.05,282
63516,1126,0.05,231
64032,1132,0.05,313
64594,1139,0.05,269
65176,1146,0.05,230
65700,1153,0.05,156
66237,1160,0.05,272
66758,1167,0.05,245
67271,1173,0.05,230
67776,1180,0.05,250
68346,1188,0.05,362
68864,1194,0.05,368
69390,1201,0.05,226
69905,1208,0.05,240
70453,1215,0.05,267
70984,1224,0.05,220
71532,1231,0.05,273
72050,1238,0.05,257
72605,1246,0.05,241
73144,1255,0.05,243
73696,1262,0.05,273
74237,1267,0.05,237
74773,1275,0.05,247
75297,1283,0.05,230
75809,1288,0.05,306
76363,1294,0.05,230
76865,1301,0.05,170
77373,1309,0.05,186
77878,1317,0.05,194
78396,1326,0.05,244
78920,1334,0.05,231
79428,1343,0.05,196
79964,1352,0.05,196
80469,1370,0.05,254
81039,1379,0.05,245
81539,1386,0.05,276
82061,1395,0.05,274
82709,1402,0.05,360
83233,1409,0.05,224
83780,1414,0.05,323
84357,1420,0.05,264
84865,1426,0.05,282
85396,1434,0.05,259
86015,1443,0.05,336
86577,1451,0.05,313
87107,1458,0.05,271
87625,1465,0.05,233
88180,1475,0.05,250
88690,1482,0.05,256
89200,1489,0.05,184
89766,1497,0.05,284
90277,1505,0.05,224
90798,1513,0.05,260
91298,1521,0.05,215
91855,1530,0.05,224
92366,1538,0.05,254
92905,1546,0.05,290
93432,1553,0.05,284
93934,1558,0.05,247
94471,1566,0.05,231
94998,1574,0.05,228
95510,1581,0.05,190
96072,1589,0.05,265
96607,1597,0.05,158
97133,1604,0.05,283
97749,1610,0.05,356
98324,1617,0.05,320
98895,1624,0.05,286
99447,1632,0.05,259
99983,1638,0.05,214
100551,1654,0.05,333
101057,1661,0.05,228
101648,1669,0.05,322
102213,1677,0.05,207
102733,1682,0.05,339
103401,1687,0.05,439
103987,1691,0.05,538
104551,1695,0.05,386
105192,1700,0.05,397
105777,1704,0.05,344
106329,1709,0.05,297
106844,1713,0.05,349
107417,1717,0.05,354
108167,1722,0.05,474
108750,1726,0.05,377
109250,1727,0.05,718
109787,1731,0.05,336
110295,1734,0.05,439
110810,1738,0.05,390
111354,1742,0.05,376
111861,1746,0.05,312
112389,1749,0.05,464
112972,1753,0.05,347
113602,1757,0.05,376
114220,1762,0.05,316
114724,1766,0.05,369
115367,1771,0.05,367
115901,1775,0.05,340
116483,1779,0.05,347
117077,1783,0.05,294
117645,1787,0.05,380
118211,1791,0.05,259
118751,1795,0.05,347
119309,1799,0.05,417
119903,1803,0.05,345
120438,1817,0.05,345
120995,1821,0.05,405
121513,1825,0.05,316
122095,1829,0.05,357
122711,1833,0.05,370
123221,1837,0.05,410
123787,1840,0.05,347
124294,1844,0.05,356
125045,1848,0.05,526
125710,1852,0.05,475
126250,1856,0.05,359
126853,1859,0.05,519
127373,1863,0.05,259
127939,1867,0.05,278
128475,1871,0.05,339
129030,1875,0.05,392
129603,1879,0.05,411
130211,1883,0.05,386
130764,1887,0.05,269
131407,1891,0.05,509
132090,1895,0.05,532
132883,1899,0.05,635
133502,1903,0.05,402
134110,1907,0.05,410
134746,1911,0.05,519
135353,1915,0.05,368
135927,1919,0.05,489
136524,1923,0.05,427
137067,1926,0.05,335
137885,1930,0.05,645
138422,1934,0.05,360
139100,1937,0.05,679
139711,1941,0.05,412
140266,1945,0.05,372
140847,1959,0.05,378
141466,1963,0.05,403
142130,1967,0.05,382
142793,1971,0.05,524
143408,1975,0.05,403
144081,1979,0.05,482
144589,1981,0.05,681
145258,1985,0.05,463
145919,1989,0.05,435
146579,1993,0.05,360
147245,1997,0.05,374
147874,2001,0.05,424
148569,2005,0.05,475
149151,2008,0.05,498
149748,2010,0.05,449
150280,2013,0.05,440
150783,2016,0.05,546
151567,2018,0.05,709
152103,2021,0.05,444
152734,2023,0.05,763
153263,2026,0.05,320
153866,2030,0.05,359
154402,2033,0.05,449
154952,2036,0.05,422
155608,2040,0.05,399
156115,2043,0.05,382
156634,2046,0.05,413
157151,2048,0.05,458
157705,2051,0.05,492
158340,2054,0.05,484
158988,2057,0.05,451
159541,2060,0.05,458
160078,2063,0.05,482
160582,2066,0.05,519
161126,2079,0.05,479
161658,2082,0.05,382
162273,2085,0.05,548
162854,2088,0.05,552
163377,2091,0.05,521
164372,2095,0.05,792
164897,2098,0.05,431
165417,2101,0.05,409
165976,2104,0.05,492
166624,2107,0.05,535
167379,2109,0.05,799
168092,2111,0.05,794
168675,2113,0.05,582
169292,2116,0.05,490
170168,2119,0.05,757
170668,2120,0.05,754
171189,2123,0.05,418
171959,2126,0.05,627
172474,2128,0.05,466
173115,2131,0.05,419
173816,2133,0.05,810
174446,2136,0.05,318
175397,2139,0.05,801
175903,2141,0.05,578
176845,2144,0.05,840
177345,2145,0.05,844
177845,2146,0.05,866
178345,2147,0.05,919
178845,2148,0.05,781
179368,2150,0.05,454
179868,2151,0.05,745
180714,2153,0.05,751
181214,2164,0.05,771
181714,2165,0.05,887
182486,2167,0.05,825
183307,2169,0.05,779
184254,2171,0.05,755
185076,2173,0.05,886
186054,2175,0.05,840
186694,2177,0.05,653
187194,2178,0.05,910
188190,2181,0.05,1059
188690,2182,0.05,782
189190,2183,0.05,733
189938,2185,0.05,703
190765,2187,0.05,888
191265,2188,0.05,675
191765,2189,0.05,782
192265,2190,0.05,812
192765,2191,0.05,938
193532,2193,0.05,763
194319,2195,0.05,885
195121,2197,0.05,775
196091,2199,0.05,811
196591,2200,0.05,885
197578,2203,0.05,894
198078,2204,0.05,835
198664,2206,0.05,469
199374,2208,0.05,545
200130,2210,0.05,734
200630,2211,0.05,702
201579,2223,0.05,695
202079,2224,0.05,717
202645,2226,0.05,485
203293,2228,0.05,512
203905,2230,0.05,519
204499,2232,0.05,486
205262,2234,0.05,563
206022,2237,0.05,637
206615,2239,0.05,599
207381,2242,0.05,531
207881,2243,0.05,766
208381,2244,0.05,801
209343,2246,0.05,768
210151,2248,0.05,568
210651,2249,0.05,737
211151,2250,0.05,766
211651,2251,0.05,797
212475,2253,0.05,860
212998,2255,0.05,455
213690,2257,0.05,669
214190,2259,0.05,341
214757,2261,0.05,661
215497,2263,0.05,581
215997,2264,0.05,806
216647,2266,0.05,774
217204,2268,0.05,570
217704,2269,0.05,843
218435,2271,0.05,444
219270,2273,0.05,692
220240,2275,0.05,717
220740,2276,0.05,803
221240,2277,0.05,1112
221740,2288,0.05,968
222240,2289,0.05,848
222839,2291,0.05,600
223591,2293,0.05,726
224091,2294,0.05,779
224615,2296,0.05,526
225285,2298,0.05,513
225970,2300,0.05,540
226751,2302,0.05,676
227251,2303,0.05,757
227859,2305,0.05,484
228452,2307,0.05,791
229213,2309,0.05,785
229830,2311,0.05,709
230330,2312,0.05,872
231098,2314,0.05,886
232027,2317,0.05,779
232768,2319,0.05,651
233325,2321,0.05,565
233825,2322,0.05,648
234444,2324,0.05,778
235134,2326,0.05,713
235997,2328,0.05,956
236671,2330,0.05,724
237171,2331,0.05,707
238138,2333,0.05,914
238912,2335,0.05,812
239863,2337,0.05,950
240817,2339,0.05,899
241670,2341,0.05,826
242170,2352,0.05,766
242670,2353,0.05,807
243499,2355,0.05,819
243999,2356,0.05,802
244499,2357,0.05,809
244999,2358,0.05,722
245499,2359,0.05,872
245999,2360,0.05,754
246618,2362,0.05,504
247118,2363,0.05,847
247618,2364,0.05,745
248118,2365,0.05,751
248618,2366,0.05,826
249292,2368,0.05,667
249952,2370,0.05,486
250452,2371,0.05,802
250952,2372,0.05,842
251452,2373,0.05,802
251952,2374,0.05,689
252567,2376,0.05,479
253067,2377,0.05,674
253567,2378,0.05,694
254566,2380,0.05,670
255430,2382,0.05,661
256311,2384,0.05,789
257000,2386,0.05,510
257500,2387,0.05,759
258000,2388,0.05,895
258500,2389,0.05,803
259419,2391,0.05,750
259919,2392,0.05,813
260573,2394,0.05,842
261073,2395,0.05,725
261573,2396,0.05,718
262073,2397,0.05,691
262573,2408,0.05,708
263073,2409,0.05,746
263927,2411,0.05,693
264427,2412,0.05,770
265187,2414,0.05,601
265844,2416,0.05,616
266344,2417,0.05,817
267206,2419,0.05,912
267794,2421,0.05,1077
268294,2422,0.05,882
269056,2424,0.05,668
269901,2426,0.05,716
270647,2428,0.05,610
271147,2429,0.05,856
271647,2430,0.05,819
272324,2432,0.05,819
273181,2434,0.05,773
273681,2435,0.05,920
274587,2437,0.05,864
275463,2439,0.05,931
276343,2441,0.05,864
