t_env,episode,epsilon,episode_reward
58,1,1.0,208
590,20,0.99031,230
1120,29,0.979689,206
1651,40,0.969638,239
2183,50,0.959416,208
2707,59,0.950087,181
3209,69,0.940188,176
3755,80,0.930308,304
4269,89,0.920029,201
4771,98,0.910434,179
5313,108,0.900421,246
5831,118,0.890313,225
6373,130,0.879996,213
6898,140,0.869622,175
7402,150,0.860388,171
7948,161,0.850204,221
8453,170,0.840191,149
8987,181,0.830254,218
9554,191,0.820393,290
10075,201,0.810057,195
10607,210,0.8002910000000001,223
11155,222,0.7890240000000001,197
11670,233,0.779277,178
12205,245,0.76953,209
12760,257,0.7587,175
13298,267,0.7482120000000001,169
13844,279,0.737971,185
14349,290,0.728376,184
14870,300,0.7184010000000001,149
15394,312,0.708578,162
15906,324,0.698451,164
16406,334,0.6889890000000001,144
16929,343,0.679204,192
17460,356,0.669039,159
17981,367,0.659349,158
18514,379,0.6490130000000001,153
19037,388,0.639893,197
19561,399,0.628987,139
20091,410,0.6195250000000001,193
20620,433,0.6090180000000001,149
21156,444,0.5991380000000001,159
21667,456,0.58903,121
22184,469,0.5795680000000001,154
22702,481,0.569175,114
23233,495,0.559181,148
23788,508,0.5491300000000001,198
24332,519,0.539288,229
24839,530,0.5288570000000001,157
25339,542,0.519053,122
25858,552,0.510009,173
26398,563,0.4993120000000001,169
26907,574,0.48924200000000007,123
27447,586,0.4795140000000001,170
27950,595,0.4699190000000001,160
28465,606,0.4599630000000001,168
29000,618,0.4499310000000001,172
29503,628,0.44035500000000005,156
30008,639,0.4306650000000001,140
30534,649,0.42055700000000007,159
31045,658,0.4108670000000001,164
31558,668,0.40180400000000005,225
32067,678,0.39190500000000006,181
32577,688,0.38179700000000005,181
33089,695,0.37271500000000013,234
33658,705,0.36325300000000005,322
34204,714,0.35124500000000003,216
34708,723,0.34113700000000013,136
35256,734,0.3313520000000001,174
35795,742,0.32133900000000004,190
36324,751,0.31142100000000006,208
36825,759,0.3011800000000001,179
37362,770,0.29097700000000004,160
37882,780,0.28132500000000005,202
38434,790,0.27078000000000013,180
38987,798,0.2602920000000001,167
39524,807,0.24995600000000007,174
40056,818,0.23990500000000015,167
40559,836,0.23057600000000011,196
41064,843,0.2216840000000001,231
41587,850,0.21123400000000014,294
42144,857,0.20053700000000008,240
42679,864,0.19071400000000005,257
43201,871,0.18018800000000013,191
43742,880,0.1701180000000001,188
44294,888,0.1594970000000001,187
44809,897,0.1503390000000001,214
45360,905,0.13945200000000013,236
45904,911,0.13006600000000013,314
46427,919,0.11965400000000015,199
46981,926,0.10886200000000013,268
47553,934,0.09803200000000012,246
48106,942,0.08729700000000007,287
48679,949,0.0778350000000001,359
49214,958,0.06616900000000014,232
49733,966,0.056859000000000104,248
50250,973,0.05,219
50769,981,0.05,202
51304,989,0.05,170
51816,998,0.05,237
52318,1006,0.05,196
52867,1015,0.05,188
53386,1024,0.05,262
53898,1032,0.05,193
54425,1040,0.05,232
54985,1049,0.05,188
55531,1057,0.05,279
56069,1065,0.05,229
56616,1072,0.05,238
57187,1080,0.05,306
57712,1087,0.05,187
58213,1095,0.05,279
58738,1103,0.05,180
59268,1111,0.05,291
59827,1119,0.05,293
60379,1137,0.05,257
60938,1143,0.05,257
61443,1149,0.05,268
61970,1158,0.05,249
62526,1165,0.05,260
63026,1172,0.05,305
63554,1180,0.05,241
64062,1187,0.05,338
64642,1194,0.05,353
65197,1203,0.05,200
65717,1209,0.05,244
66301,1217,0.05,236
66850,1223,0.05,301
67376,1230,0.05,233
67903,1235,0.05,310
