t_env,episode,epsilon,episode_reward
50,1,1.0,8.293489684416759
550,21,0.9905,7.429012705762172
1050,31,0.981,1.532539721028137
1550,41,0.9715,8.013984762944538
2050,51,0.962,16.227241948736992
2550,61,0.9525,2.009899827012107
3050,71,0.9430000000000001,13.489568862040786
3550,81,0.9335,1.0837401168211536
4050,91,0.924,3.1242978209867074
4550,101,0.9145,5.8420022543073635
5050,111,0.905,1.89001352860122
5550,121,0.8955,7.084143642039946
6050,131,0.886,27.986864435029062
6550,141,0.8765000000000001,3.82733843942762
7050,151,0.867,13.360811088982251
7550,161,0.8575,6.904825693385943
8050,171,0.8480000000000001,2.0106928234461554
8550,181,0.8385,3.9004078682009453
9050,191,0.829,18.570788255898616
9550,201,0.8195,7.001739767241329
10050,211,0.81,6.159458727938136
10550,221,0.8005,1.4854996663388054
11050,231,0.791,1.7076706049925487
11550,241,0.7815000000000001,0.28647701796316744
12050,251,0.772,6.564236604402385
12550,261,0.7625000000000001,2.856856704273137
13050,271,0.753,11.05946815031548
13550,281,0.7435,3.648730101822345
14050,291,0.734,3.6963000940714226
14550,301,0.7245,22.516060513617035
15050,311,0.7150000000000001,0.7347003313394419
15550,321,0.7055,18.26068168068243
16050,331,0.6960000000000001,1.6227561875285064
16550,341,0.6865000000000001,0.09515186401717121
17050,351,0.677,5.789283455648191
17550,361,0.6675,1.8991180075116543
18050,371,0.658,6.737001086915597
18550,381,0.6485000000000001,4.760774881030134
19050,391,0.639,6.9260991025069085
19550,401,0.6295000000000001,3.945949622536696
20050,411,0.6200000000000001,5.731621411643803
20550,431,0.6105,12.883697977760372
21050,441,0.601,1.6981834828626379
21550,451,0.5915,-1.2010628862911283
22050,461,0.5820000000000001,1.2904470073905152
22550,471,0.5725,9.937875739131329
23050,481,0.5630000000000001,5.08012642744288
23550,491,0.5535000000000001,15.177154568780548
