t_env,episode,epsilon,episode_reward
50,1,1.0,8.0
550,12,0.9905,0.0
1050,22,0.981,12.0
1550,32,0.9715,0.0
2050,42,0.962,6.0
2550,52,0.9525,5.0
3050,62,0.9430000000000001,8.0
3550,72,0.9335,-1.0
4050,82,0.924,7.0
4550,92,0.9145,17.0
5050,102,0.905,28.0
5550,112,0.8955,0.0
6050,122,0.886,46.0
6550,132,0.8765000000000001,2.0
7050,142,0.867,5.0
7550,152,0.8575,-1.0
8050,162,0.8480000000000001,15.0
8550,172,0.8385,16.0
9050,182,0.829,10.0
9550,192,0.8195,12.0
10050,202,0.81,2.0
10550,212,0.8005,-2.0
11050,222,0.791,0.0
11550,232,0.7815000000000001,2.0
12050,242,0.772,-3.0
12550,252,0.7625000000000001,10.0
13050,262,0.753,16.0
13550,272,0.7435,1.0
14050,282,0.734,4.0
14550,292,0.7245,0.0
15050,302,0.7150000000000001,3.0
15550,312,0.7055,-1.0
16050,322,0.6960000000000001,31.0
16550,332,0.6865000000000001,-4.0
17050,342,0.677,1.0
