t_env,episode,epsilon,episode_reward
50,1,1.0,40.120620450186244
550,12,0.9905,35.104708831689194
1050,22,0.981,44.219296371407474
1550,32,0.9715,32.920141142666274
2050,42,0.962,36.88884852710904
2550,52,0.9525,57.42756876265293
3050,62,0.9430000000000001,42.464688614758465
3550,72,0.9335,26.53411145782821
4050,82,0.924,45.961474531087184
4550,92,0.9145,24.87824110347788
5050,102,0.905,45.11574424121457
5550,112,0.8955,40.904875373611425
6050,122,0.886,33.448473677762436
6550,132,0.8765000000000001,51.542656370431615
7050,142,0.867,25.606296001858684
7550,152,0.8575,38.67721601397666
8050,162,0.8480000000000001,26.998430637136718
8550,172,0.8385,31.509736711090977
9050,182,0.829,26.268278602615243
9550,192,0.8195,22.031325221378868
10050,202,0.81,39.44953989432293
10550,212,0.8005,43.01332932667083
11050,222,0.791,31.725238545452758
11550,232,0.7815000000000001,41.09686685249016
