t_env,episode,epsilon,episode_reward
50,1,1.0,39.0
550,12,0.9905,35.0
1050,22,0.981,26.0
1550,32,0.9715,80.0
2050,42,0.962,2.0
2550,52,0.9525,0.0
3050,62,0.9430000000000001,50.0
3550,72,0.9335,6.0
4050,82,0.924,32.0
4550,92,0.9145,59.0
5050,102,0.905,66.0
5550,112,0.8955,63.0
6050,122,0.886,34.0
6550,132,0.8765000000000001,0.0
7050,142,0.867,0.0
7550,152,0.8575,33.0
8050,162,0.8480000000000001,20.0
8550,172,0.8385,41.0
9050,182,0.829,16.0
9550,192,0.8195,42.0
